"Player","Team","Pos","Rank","ADP","2023 Finish","2022 Finish","Id","Diff"
"Christian McCaffrey ","49ers","RB","1","1.3","1","3","9e801ec6-ed8e-49b1-8b66-90553d7dd7e2","0.23"
"CeeDee Lamb","Cowboys","WR","2","2","4","19","098d87b9-1fc9-4466-a7dd-7f35f697f506","0"
"Justin Jefferson","Vikings","WR","3","5.5","9","6","8209c653-34c2-4bc5-8434-d5a6d2c8b27b","0.45"
"Tyreek Hill","Dolphins","WR","4","3.1","3","8","a36d312f-0f65-4e3a-98ef-823608309b21","-0.29"
"Breece Hall","Jets","RB","5","7.7","18","17","3f671138-3ef9-437b-af4b-f865c1423161","0.35"
"A.J. Brown","Eagles","WR","6","8.9","13","18","2bad3d34-9960-4d9a-8fa7-6abc8d2ba1f7","0.33"
"Ja'Marr Chase","Bengals","WR","7","4.4","21","9","5a9b6074-7296-4571-94f8-6b9e803ba039","-0.59"
"Amon-Ra St. Brown","Lions","WR","8","5.9","8","23","7b36b9f5-93c3-4fb7-8703-f89aa740c452","-0.36"
"Bijan Robinson","Falcons","RB","9","6.9","39","","7f4475be-2cd2-4e94-9272-9d6e1c6a6262","-0.3"
"Garrett Wilson","Jets","WR","10","10.7","91","55","c76953d5-dc07-49f6-85e2-731b919c09a0","0.07"
"Puka Nacua","Rams","WR","11","10.4","14","","fb1781a7-ebfc-47c4-a925-18ad114c9834","-0.06"
"Jahmyr Gibbs","Lions","RB","12","12.9","17","","f098bc7a-7b26-4b95-8a2a-5603e0c79eab","0.07"
"Jaylen Waddle","Dolphins","WR","13","20.1","68","26","0eca149b-3acb-4540-90b9-e573a3983e73","0.35"
"Nico Collins","Texans","WR","14","17.4","20","206","0ca934b7-a6df-4df8-9f7b-f34f1f51d396","0.2"
"Kyren Williams","Rams","RB","15","27.9","2","350","2ea6b394-3237-4644-8b49-69cf67b6e8a9","0.46"
"Jonathan Taylor","Colts","RB","16","15.9","34","32","b4792419-5e76-45de-864a-741ac6df7651","-0.01"
"Brandon Aiyuk","49ers","WR","17","21.3","28","82","c3032705-9198-4d1b-ba45-3d5eb7983645","0.2"
"Cooper Kupp","Rams","WR","18","27.6","46","1","07d3867e-0154-4152-a798-18d6c7accd42","0.35"
"Saquon Barkley","Eagles","RB","19","19.3","26","10","5b733acd-4a48-40f0-9662-51e4540b0351","0.02"
"De'Von Achane","Dolphins","RB","20","23.1","5","","47a7e2a4-2f23-4670-ac09-1c20b7e4bb39","0.13"
"Davante Adams","Raiders","WR","21","20.2","33","7","6591b1cf-50ee-4c6d-964c-2b26ad46bfde","-0.04"
"Deebo Samuel","49ers","WR","22","19","10","56","bc1959be-6b30-4eca-be97-0f2e5b97eb9a","-0.16"
"Drake London","Falcons","WR","23","14.9","98","114","56c751bc-45b5-4984-b916-8a9b1cbc056e","-0.54"
"Marvin Harrison","Cardinals","WR","24","13.5","","","ffadf9c7-84c5-4cbd-882c-08ac77e4ceff","-0.78"
"Malik Nabers","Giants","WR","25","27","","","12dc1620-9e6e-4ea6-81db-325a12cf154c","0.07"
"Mike Evans","Bucs","WR","26","24.3","12","42","8da0dbe1-4d06-45f3-830a-2112443c2466","-0.07"
"Isiah Pacheco","Chiefs","RB","27","39.8","29","116","951c3ab5-1b70-43de-a537-16376027a240","0.32"
"Jalen Hurts","Eagles","QB","28","41.3","38","11","5e0c0398-4cff-4185-9805-3d5b56cb929b","0.32"
"Chris Olave","Saints","WR","29","17.6","58","76","333093b5-7ef3-49ae-a736-93217e79f666","-0.65"
"DK Metcalf","Seahawks","WR","30","26.8","41","38","2704e8d7-a534-4bef-9e3d-6d12ff738205","-0.12"
"Josh Jacobs","Packers","RB","31","52.2","40","5","993baded-bd48-4787-b0ad-ac2996be73a4","0.41"
"Derrick Henry","Ravens","RB","32","29.5","23","4","2e8f2806-a076-496d-b610-30c5a9db0098","-0.08"
"Amari Cooper","Browns","WR","33","40.6","27","33","2426f790-2c33-4a1d-9074-0a2975affc5d","0.19"
"Tank Dell","Texans","WR","34","35.3","22","","2df22d1e-e053-42dd-9c5e-480d1196ff25","0.04"
"DeVonta Smith","Eagles","WR","35","25.5","48","36","c0c23fc3-862e-481f-824b-04ee87c01392","-0.37"
"Travis Etienne Jr.","Jaguars","RB","36","43.3","11","48","a9ad9af2-611c-4c9b-9e07-687f619a55ce","0.17"
"Travis Kelce","Chiefs","TE","37","38.9","56","13","18a2678b-805b-4ec2-8489-0e677735311b","0.05"
"Patrick Mahomes","Chiefs","QB","38","46","130","16","1028d0c1-94d4-463f-9a3d-3c0bebb060db","0.17"
"DJ Moore","Bears","WR","39","30.9","16","57","f68af97f-836c-472d-8ad2-8b87a19ec178","-0.26"
