RK,Rank,POS,Player,Team,Diff,ADP,Bye
1,1,RB1,Christian McCaffrey,SF,0,1.3,9
2,2,WR1,CeeDee Lamb,DAL,0,2.0,7
3,4,WR2,Tyreek Hill,MIA,-1,3.1,6
4,7,WR3,Ja'Marr Chase,CIN,-3,4.4,12
5,8,WR4,Amon-Ra St. Brown,DET,-3,5.9,5
6,3,WR5,Justin Jefferson,MIN,3,5.5,6
7,9,RB2,Bijan Robinson,ATL,-2,6.9,12
8,5,RB3,Breece Hall,NYJ,3,7.7,12
9,6,WR6,A.J. Brown,PHI,3,8.9,5
10,10,WR7,Garrett Wilson,NYJ,0,10.7,12
11,12,RB4,Jahmyr Gibbs,DET,-1,12.9,5
12,16,RB5,Jonathan Taylor,IND,-4,15.9,14
13,11,WR8,Puka Nacua,LAR,2,10.4,6
14,19,RB6,Saquon Barkley,PHI,-5,19.3,5
15,21,WR9,Davante Adams,LV,-6,20.2,10
16,24,WR10,Marvin Harrison,ARI,-8,13.5,11
17,29,WR11,Chris Olave,NO,-12,17.6,12
18,23,WR12,Drake London,ATL,-5,14.9,12
19,41,QB1,Josh Allen,BUF,-22,37.4,12
20,54,WR13,Michael Pittman,IND,-34,34.4,14
21,36,RB7,Travis Etienne,JAC,-15,43.3,12
22,28,QB2,Jalen Hurts,PHI,-6,41.3,5
23,13,WR14,Jaylen Waddle,MIA,10,20.1,6
24,17,WR15,Brandon Aiyuk,SF,7,21.3,9
25,26,WR16,Mike Evans,TB,-1,24.3,11
26,14,WR17,Nico Collins,HOU,12,17.4,14
27,45,TE1,Sam LaPorta,DET,-18,36.4,5
28,15,RB8,Kyren Williams,LAR,13,27.9,6
29,18,WR18,Cooper Kupp,LAR,11,27.6,6
30,38,QB3,Patrick Mahomes,KC,-8,46.0,6
31,42,QB4,Lamar Jackson,BAL,-11,47.6,14
32,39,WR19,DJ Moore,CHI,-7,30.9,7
33,37,TE2,Travis Kelce,KC,-4,38.9,6
34,30,WR20,DK Metcalf,SEA,4,26.8,10
35,20,RB9,De'Von Achane,MIA,15,23.1,6
36,22,WR21,Deebo Samuel,SF,14,19.0,9
37,35,WR22,DeVonta Smith,PHI,2,25.5,5
38,27,RB10,Isiah Pacheco,KC,11,39.8,6
39,52,RB11,Rachaad White,TB,-13,62.7,11
40,32,RB12,Derrick Henry,BAL,8,29.5,14
41,47,WR23,Stefon Diggs,HOU,-6,32.6,14
42,25,WR24,Malik Nabers,NYG,17,27.0,11
43,33,WR25,Amari Cooper,CLE,10,40.6,10
44,85,RB13,Alvin Kamara,NO,-41,74.4,12
45,51,QB5,Anthony Richardson,IND,-6,56.7,14
46,31,RB14,Josh Jacobs,GB,15,52.2,10
47,53,RB15,James Cook,BUF,-6,56.0,12
48,48,TE3,Trey McBride,ARI,0,46.6,11
49,50,WR26,Zay Flowers,BAL,-1,37.2,14
50,46,RB16,Joe Mixon,HOU,4,61.7,14
51,43,WR27,Christian Kirk,JAC,8,46.1,12
52,56,QB6,C.J. Stroud,HOU,-4,71.3,14
53,44,WR28,Tee Higgins,CIN,9,42.7,12
54,83,RB17,Kenneth WalkerI,SEA,-29,68.9,10
55,62,WR29,Keenan Allen,CHI,-7,54.2,7
56,49,TE4,Mark Andrews,BAL,7,48.8,14
57,40,WR30,George Pickens,PIT,17,39.7,9
58,74,WR31,Terry McLaurin,WAS,-16,50.2,14
59,34,WR32,Tank Dell,HOU,25,35.3,14
60,76,QB7,Kyler Murray,ARI,-16,77.9,11
61,91,QB8,Joe Burrow,CIN,-30,90.7,12
62,78,QB9,Dak Prescott,DAL,-16,95.7,7
63,67,WR33,Chris Godwin,TB,-4,59.4,11
64,96,RB18,Aaron Jones,MIN,-32,81.1,6
65,82,RB19,Rhamondre Stevenson,NE,-17,82.1,14
66,61,WR34,Diontae Johnson,CAR,5,70.1,11
67,69,RB20,James Conner,ARI,-2,84.4,11
68,92,QB10,Jordan Love,GB,-24,97.5,10
69,64,TE5,Dalton Kincaid,BUF,5,51.2,12
70,75,WR35,Calvin Ridley,TEN,-5,59.4,5
71,66,WR36,Rashee Rice,KC,5,59.7,6
72,58,RB21,David Montgomery,DET,14,73.6,5
73,90,TE6,Evan Engram,JAC,-17,76.2,12
74,103,RB22,D'Andre Swift,CHI,-29,92.5,7
75,68,RB23,Najee Harris,PIT,7,83.1,9
76,117,QB11,Brock Purdy,SF,-41,111.3,9
77,95,RB24,Zamir White,LV,-18,87.3,10
78,84,RB25,Jaylen Warren,PIT,-6,88.3,9
79,87,WR37,Jayden Reed,GB,-8,57.6,10
80,55,WR38,Hollywood Brown,KC,25,53.6,6
81,57,TE7,Kyle Pitts,ATL,24,60.2,12
82,107,QB12,Jayden Daniels,WAS,-25,101.8,14
83,59,WR39,DeAndre Hopkins,TEN,24,68.3,5
84,73,RB26,Raheem Mostert,MIA,11,93.2,6
85,112,RB27,Tony Pollard,TEN,-27,100.5,5
86,123,QB13,Tua Tagovailoa,MIA,-37,124.9,6
87,65,TE8,George Kittle,SF,22,65.3,9
88,72,WR40,Jaxon Smith-Njigba,SEA,16,76.9,10
89,132,QB14,Jared Goff,DET,-43,126.0,5
90,105,RB28,Javonte Williams,DEN,-15,112.3,14
91,93,QB15,Caleb Williams,CHI,-2,113.3,7
92,115,RB29,Tyjae Spears,TEN,-23,107.8,5
93,79,TE9,Jake Ferguson,DAL,14,84.3,7
94,77,TE10,David Njoku,CLE,17,101.7,10
95,100,WR41,Jordan Addison,MIN,-5,82.6,6
96,113,RB30,Brian Robinson,WAS,-17,103.3,14
97,118,QB16,Trevor Lawrence,JAC,-21,119.7,12
98,60,WR42,Xavier Worthy,KC,38,64.1,6
99,81,WR43,Courtland Sutton,DEN,18,95.7,14
100,70,WR44,Ladd McConkey,LAC,30,71.9,5
101,133,QB17,Justin Herbert,LAC,-32,134.6,5
102,88,WR45,Christian Watson,GB,14,69.3,10
103,140,RB31,Austin Ekeler,WAS,-37,129.9,14
104,104,RB32,Devin Singletary,NYG,0,108.7,11
105,108,TE11,Dallas Goedert,PHI,-3,115.4,5
106,63,WR46,Rome Odunze,CHI,43,67.2,7
107,120,WR47,Tyler Lockett,SEA,-13,103.9,10
108,97,TE12,Brock Bowers,LV,11,96.6,10
109,159,QB18,Kirk Cousins,ATL,-50,145.0,12
110,86,RB33,Zack Moss,CIN,24,95.4,12
111,128,QB19,Matthew Stafford,LAR,-17,148.8,6
112,114,RB34,Chase Brown,CIN,-2,115.6,12
113,127,TE13,Pat Freiermuth,PIT,-14,132.2,9
114,135,WR48,Jakobi Meyers,LV,-21,119.5,10
115,94,RB35,Jonathon Brooks,CAR,21,89.8,11
116,80,WR49,Curtis Samuel,BUF,36,88.2,12
117,162,TE14,Dalton Schultz,HOU,-45,130.8,14
