Aug 12,index,PPR,STD,ADP,Std auction,ppr auction,aav,,STD,PPR
Christian McCaffrey,1,1,1,1.534541826,57,57,62.11636107,,1,1
Breece Hall,2,3,2,5.624162173,56,56,53.75669958,,2,3
Bijan Robinson,3,4,3,6.896510121,55,55,53.4922426,,3,4
CeeDee Lamb,4,2,4,3.914951294,55,55,54.98449612,,4,2
Tyreek Hill,5,5,5,3.782760881,54,54,57.44326991,,5,5
Ja'Marr Chase,6,6,6,6.992642131,53,53,52.5179704,,6,6
Amon-Ra St. Brown,7,7,7,7.448032411,53,53,52.91402396,,7,7
Justin Jefferson,8,8,8,7.610831422,52,52,52.54474982,,8,8
Jonathan Taylor,9,9,9,12.19577586,51,51,47.57122708,,9,9
Saquon Barkley,10,11,10,11.97628694,50,50,48.10860367,,10,11
A.J. Brown,11,10,11,11.6347523,48,48,45.32628612,,11,10
Garrett Wilson,12,12,12,15.67185987,46,45,41.70119803,,12,12
Puka Nacua,13,13,13,16.73998332,45,46,41.26215645,,13,13
Jahmyr Gibbs,14,14,14,15.58729166,43,43,41.93088858,,14,14
Kyren Williams,15,15,15,18.81930977,42,42,38.86530324,,15,15
Derrick Henry,16,18,16,18.9417013,40,32,33.27503526,,16,18
Travis Etienne Jr.,17,19,17,23.44700468,38,38,35.08110014,,17,19
Chris Olave,18,17,18,24.14072507,37,37,31.81183932,,18,17
Davante Adams,19,22,19,24.39448598,36,36,33.09866103,,19,22
Mike Evans,20,28,20,33.60771259,35,34,28.84707541,,20,28
Deebo Samuel Sr.,21,46,21,47.88434097,34,25,22.40591966,,21,48
DK Metcalf,22,32,22,37.91863028,33,30,24.68357999,,22,32
Brandon Aiyuk,23,36,23,44.61878519,32,26,21.21564482,,23,37
Isiah Pacheco,24,16,24,19.81996783,32,40,35.89351199,,24,16
Rachaad White,25,30,25,40.90830689,31,31,26.51692525,,25,30
Nico Collins,26,27,26,38.20092644,30,30,24.22551092,,26,27
Marvin Harrison Jr.,27,21,27,25.9750216,30,33,29.9675828,,27,21
Kenneth Walker III,28,40,28,49.39690484,29,20,18.57263752,,28,42
Joe Mixon,29,24,29,36.05542398,28,27,23.05500705,,29,24
James Cook,30,25,30,34.67814055,27,28,24.93159379,,30,25
Drake London,31,23,31,36.99642527,26,32,25.87455955,,31,23
DJ Moore,32,38,32,50.42624782,25,24,18.69767442,,32,39
Michael Pittman Jr.,33,20,33,29.79568948,24,35,28.7427766,,33,20
Cooper Kupp,34,41,34,49.43336759,23,17,17.21071177,,34,43
Josh Allen,35,42,35,30.29702262,22,22,22.96042403,,35,44
Sam LaPorta,36,31,36,31.42900338,22,22,21.96124031,,37,31
Travis Kelce,37,29,37,23.34560674,22,22,24.53488372,,38,29
Jalen Hurts,38,43,38,32.30089709,21,21,20.72367491,,39,45
Josh Jacobs,39,35,39,41.35942387,21,21,20.74047955,,41,35
Alvin Kamara,40,33,40,37.88599261,20,29,25.41396333,,42,33
De'Von Achane,41,26,41,35.0339748,19,19,19.27574048,,43,26
Tee Higgins,42,56,42,73.68466912,19,14,10.2832981,,44,60
DeVonta Smith,43,37,43,48.73143376,18,19,15.55109232,,45,38
Calvin Ridley,44,54,44,74.40532932,17,15,10.15221987,,46,58
Zay Flowers,45,52,45,64.27203265,17,17,12.69274137,,47,56
Stefon Diggs,46,34,46,35.97683875,15,23,20,,48,34
Jaylen Waddle,47,39,47,53.95586768,15,18,15.14940099,,49,41
George Pickens,48,57,48,74.82516868,14,11,8.847075405,,50,61
Lamar Jackson,49,50,49,35.29471284,13,13,16.54982332,,51,53
Patrick Mahomes,50,45,50,28.53962388,13,13,19.76890459,,53,47
Mark Andrews,51,49,51,42.10989469,12,12,12.87033122,,55,51
Tank Dell,52,55,52,69.93854541,11,10,7.878083157,,56,59
Malik Nabers,53,47,53,63.68566237,11,15,12.15856237,,57,49
Amari Cooper,54,67,54,83.12356639,10,10,7.627202255,,58,77
Diontae Johnson,55,77,55,103.4739641,10,7,4.30584919,,59,89
George Kittle,56,73,56,56.18042481,10,6,8.167019027,,60,83
Trey McBride,57,53,57,55.02911956,10,10,9.320648344,,61,57
Anthony Richardson,58,44,58,50.9044809,9,9,9.146289753,,62,46
C.J. Stroud,59,61,59,46.25727569,9,9,11.86996466,,64,69
Joe Burrow,60,75,60,60.60298632,9,9,8.954770318,,66,87
Dak Prescott,61,80,61,77.07068028,8,8,6.778798587,,69,92
Rhamondre Stevenson,62,48,62,67.64589353,8,8,7.557827927,,71,50
D'Andre Swift,63,63,63,74.96231586,8,8,8.032440056,,72,72
James Conner,64,64,64,85.2282531,7,7,6.738363893,,73,73
Aaron Jones,65,51,65,64.24459306,7,7,8.761636107,,75,55
Najee Harris,66,78,66,96.95912896,7,4,3.949929478,,76,90
Chris Godwin,67,66,67,89.49372179,7,11,6.901338971,,77,76
Rashee Rice,68,79,68,98.66949165,6,6,4.03030303,,78,91
DeAndre Hopkins,69,85,69,112.7716196,6,6,3.216349542,,79,98
Christian Watson,70,84,70,109.067041,6,4,2.594080338,,80,96
Christian Kirk,71,76,71,99.80547529,6,6,4.108527132,,81,88
Keenan Allen,72,69,72,85.88508743,6,6,5.051444679,,82,79
Kyle Pitts,73,68,73,71.75783845,6,5,5.055673009,,83,78
Evan Engram,74,65,74,66.67949119,5,10,7.71106413,,84,75
David Njoku,75,91,75,86.37217928,5,2,2.474982382,,87,105
Jonathon Brooks,76,60,76,93.82849993,5,5,3.696050776,,88,67
David Montgomery,77,62,77,76.69397939,5,4,5.456276446,,89,71
Zamir White,78,59,78,80.89408383,4,7,6.480959097,,90,64
Brian Robinson Jr.,79,71,79,95.4389085,4,5,3.563469676,,91,81
Tony Pollard,80,88,80,107.0508959,4,3,2.657263752,,92,101
Jordan Addison,81,92,81,114.5264679,4,4,2.393234672,,93,107
Terry McLaurin,82,72,82,94.87439117,4,6,4.335447498,,94,82
Marquise Brown,83,87,83,115.5817185,4,4,2.402396054,,95,100
Jayden Reed,84,74,84,101.2761327,4,4,2.589852008,,96,84
Courtland Sutton,85,98,85,124.7024487,4,4,1.662438337,,98,116
Jaxon Smith-Njigba,86,89,86,111.5965474,4,4,2.288231149,,99,102
Devin Singletary,87,95,87,121.6410081,3,2,1.514809591,,100,113
Javonte Williams,88,82,88,108.7020614,3,3,2.203102962,,101,94
Raheem Mostert,89,96,89,104.8363793,3,2,3.12764457,,102,114
Jaylen Warren,90,70,90,96.63668861,3,4,3.037376587,,104,80
Kyler Murray,91,83,91,90.01676477,3,3,3.6,,105,95
Jordan Love,92,99,92,85.33392445,3,3,4.732155477,,107,117
Brock Purdy,93,140,93,106.3543498,3,3,3.408480565,,109,179
Xavier Worthy,94,104,94,117.4926645,3,3,2.205778717,,111,124
Rome Odunze,95,97,95,123.089115,3,3,1.730091614,,113,115
Keon Coleman,96,100,96,120.4025678,2,2,1.715292459,,114,120
Ladd McConkey,97,94,97,124.0215076,2,2,1.36222692,,115,111
Mike Williams,98,112,98,144.5080282,2,2,0.9859055673,,116,136
Jayden Daniels,99,114,99,121.778142,2,2,2.067137809,,117,138
Jake Ferguson,100,102,100,100.2072777,2,2,2.182522903,,120,122
Dalton Kincaid,101,58,101,63.88344902,2,5,5.798449612,,121,62
Ezekiel Elliott,102,90,102,113.6655644,2,2,1.806770099,,122,103
Zack Moss,103,86,103,115.2802776,2,2,1.822990127,,123,99
Tyjae Spears,104,81,104,110.0278084,2,3,1.944287729,,124,93
Austin Ekeler,105,93,105,110.5869044,2,3,2.638928068,,126,109
Gus Edwards,106,110,106,137.6087254,2,2,1.212976023,,128,134
Brian Thomas Jr.,107,113,107,143.864922,2,2,1.0260747,,129,137
Tyler Lockett,108,109,108,133.3299373,2,2,1.083861875,,130,131
Jakobi Meyers,109,125,109,150.4897078,2,2,0.9577167019,,131,155
Dallas Goedert,110,139,110,123.8616391,2,2,1.310782241,,134,176
Brock Bowers,111,119,111,114.1751616,2,2,1.972515856,,135,146
Pat Freiermuth,112,164,112,149.10255,2,1,0.7519379845,,136,214
Nick Chubb,113,106,113,112.2535711,2,2,3.437235543,,137,128
J.K. Dobbins,114,115,114,140.6798981,2,2,1.095909732,,138,141
Chase Brown,115,111,115,138.4061038,2,2,1.24471086,,141,135
Jerome Ford,116,108,116,135.1731359,2,2,1.389985896,,142,130
Chuba Hubbard,117,173,117,166.0620373,2,2,0.898448519,,143,229
Aaron Rodgers,118,136,118,126.8056359,2,2,1.949823322,,144,173
Justin Herbert,119,189,119,156.0827944,2,2,1.462190813,,146,252
Kirk Cousins,120,162,120,150.7668728,2,2,1.382332155,,149,211
Zach Charbonnet,121,107,121,140.5979713,1,1,0.8970380818,,151,129
Tyler Allgeier,122,122,122,152.8529276,1,1,0.7799717913,,152,152
Ty Chandler,123,126,123,160.8076024,1,1,0.6354019746,,153,157
Trey Benson,124,105,124,137.8013465,1,1,1.024682652,,154,127
Darnell Mooney,125,124,125,153.1276475,1,1,0.7117688513,,155,154
Jerry Jeudy,126,116,126,145.8052995,1,1,0.9076814658,,157,142
Gabe Davis,127,153,127,163.6713832,1,1,0.2226920366,,158,197
Adam Thielen,128,155,128,159.4253392,1,1,0.4143763214,,159,200
Curtis Samuel,129,120,129,148.1429593,1,1,0.8724453841,,160,149
Jameson Williams,130,103,130,131.3816468,1,1,1.124031008,,162,123
Rashid Shaheed,131,117,131,153.3893978,1,1,0.8308668076,,163,143
Caleb Williams,132,132,132,125.4322415,1,1,1.855830389,,164,164
Deshaun Watson,133,183,133,160.0166304,1,1,1.667844523,,166,242
Trevor Lawrence,134,188,134,154.3883947,1,1,0.8141342756,,168,251
T.J. Hockenson,135,121,135,126.233526,1,2,1.593375617,,172,151
Taysom Hill,136,204,136,163.6423677,1,0,0.1543340381,,173,290
Dalton Schultz,137,172,137,143.9689888,1,1,0.6476391825,,174,228
DeMario Douglas,138,127,138,164.6484756,1,1,0.451726568,,175,158
Khalil Shakir,139,129,139,160.4655267,1,1,0.5010570825,,176,160
Ja'Lynn Polk,140,181,140,169.4789318,1,1,0.09584214235,,179,240
Adonai Mitchell,141,135,141,164.5992195,1,1,0.2389006342,,180,172
Antonio Gibson,142,128,142,162.1268432,1,1,0.466854725,,181,159
Blake Corum,143,101,143,131.3891595,1,1,1.083215797,,182,121
Kendre Miller,144,118,144,158.0704083,1,1,0.6840620592,,183,144
MarShawn Lloyd,145,123,145,161.2629697,1,1,0.6269393512,,187,153
Jaleel McLaughlin,146,138,146,166.1970866,1,1,0.2630465444,,188,175
Xavier Legette,147,131,147,163.4996425,1,1,0.3467230444,,189,163
Joshua Palmer,148,187,148,169.1524449,1,1,0.1282593376,,190,249
