"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Christian McCaffrey",SF,"RB1","9","2 out of 5 stars","0","+2.5","62% (10/16)"
"2",1,"CeeDee Lamb",DAL,"WR1","7","3 out of 5 stars","+1","+3.8","50% (8/16)"
"3",1,"Tyreek Hill",MIA,"WR2","6","2 out of 5 stars","-1","+1.7","60% (9/15)"
"4",1,"Ja'Marr Chase",CIN,"WR3","12","2 out of 5 stars","+3","-0.8","33% (5/15)"
"5",1,"Amon-Ra St. Brown",DET,"WR4","5","4 out of 5 stars","+3","+2.0","60% (9/15)"
"6",1,"Breece Hall",NYJ,"RB2","12","2 out of 5 stars","-2","+1.4","50% (8/16)"
"7",1,"Justin Jefferson",MIN,"WR5","6","3 out of 5 stars","-1","-0.5","55% (5/9)"
"8",1,"Bijan Robinson",ATL,"RB3","12","4 out of 5 stars","-3","-2.5","37% (6/16)"
"9",2,"A.J. Brown",PHI,"WR6","5","2 out of 5 stars","+1","+0.5","43% (7/16)"
"10",2,"Garrett Wilson",NYJ,"WR7","12","4 out of 5 stars","+2","-1.3","37% (6/16)"
"11",2,"Jahmyr Gibbs",DET,"RB4","5","3 out of 5 stars","+2","+1.6","50% (7/14)"
"12",2,"Jonathan Taylor",IND,"RB5","14","2 out of 5 stars","-1","-0.1","44% (4/9)"
"13",2,"Puka Nacua",LAR,"WR8","6","3 out of 5 stars","+1","+2.9","62% (10/16)"
"14",2,"Saquon Barkley",PHI,"RB6","5","4 out of 5 stars","-5","-0.9","38% (5/13)"
"15",2,"Marvin Harrison Jr.",ARI,"WR9","11","3 out of 5 stars","+1","-","-"
"16",2,"Davante Adams",LV,"WR10","10","3 out of 5 stars","+4","-0.8","37% (6/16)"
"17",3,"Drake London",ATL,"WR11","12","4 out of 5 stars","+8","0.0","40% (6/15)"
"18",3,"Chris Olave",NO,"WR12","12","3 out of 5 stars","+6","-0.3","53% (8/15)"
"19",3,"Josh Allen",BUF,"QB1","12","1 out of 5 stars","+3","+2.1","62% (10/16)"
"20",3,"Travis Etienne Jr.",JAC,"RB7","12","2 out of 5 stars","-2","+0.7","56% (9/16)"
"21",3,"Jaylen Waddle",MIA,"WR13","6","2 out of 5 stars","+23","-0.6","35% (5/14)"
"22",3,"Jalen Hurts",PHI,"QB2","5","2 out of 5 stars","+10","+0.6","68% (11/16)"
"23",3,"Michael Pittman Jr.",IND,"WR14","14","4 out of 5 stars","+12","+1.3","60% (9/15)"
"24",3,"Mike Evans",TB,"WR15","11","3 out of 5 stars","+9","+2.7","62% (10/16)"
"25",3,"Cooper Kupp",LAR,"WR16","6","3 out of 5 stars","+12","-1.8","41% (5/12)"
"26",3,"Nico Collins",HOU,"WR17","14","3 out of 5 stars","+4","+2.6","50% (7/14)"
"27",3,"Brandon Aiyuk",SF,"WR18","9","2 out of 5 stars","+9","+1.8","60% (9/15)"
"28",3,"Sam LaPorta",DET,"TE1","5","3 out of 5 stars","-1","+2.5","56% (9/16)"
"29",3,"Kyren Williams",LAR,"RB8","6","3 out of 5 stars","-14","+5.5","66% (8/12)"
"30",4,"Patrick Mahomes II",KC,"QB3","6","3 out of 5 stars","-4","-3.0","18% (3/16)"
"31",4,"Travis Kelce",KC,"TE2","6","3 out of 5 stars","-10","-2.2","26% (4/15)"
"32",4,"Isiah Pacheco",KC,"RB9","6","3 out of 5 stars","-13","+1.1","50% (7/14)"
"33",4,"Deebo Samuel Sr.",SF,"WR19","9","2 out of 5 stars","-2","+2.0","57% (8/14)"
"34",4,"Lamar Jackson",BAL,"QB4","14","4 out of 5 stars","+5","+0.3","50% (8/16)"
"35",4,"De'Von Achane",MIA,"RB10","6","3 out of 5 stars","-12","+6.1","50% (5/10)"
"36",4,"DeVonta Smith",PHI,"WR20","5","2 out of 5 stars","+9","+0.7","50% (8/16)"
"37",4,"DK Metcalf",SEA,"WR21","10","3 out of 5 stars","+4","+0.9","46% (7/15)"
"38",4,"DJ Moore",CHI,"WR22","7","4 out of 5 stars","+8","+3.0","50% (8/16)"
"39",4,"Malik Nabers",NYG,"WR23","11","3 out of 5 stars","+11","-","-"
"40",4,"Derrick Henry",BAL,"RB11","14","3 out of 5 stars","-23","-0.5","56% (9/16)"
"41",4,"Rachaad White",TB,"RB12","11","5 out of 5 stars","-7","+1.2","62% (10/16)"
"42",4,"Stefon Diggs",HOU,"WR24","14","3 out of 5 stars","-2","-1.4","37% (6/16)"
"43",4,"Alvin Kamara",NO,"RB13","12","5 out of 5 stars","-1","+0.1","46% (6/13)"
"44",4,"Amari Cooper",CLE,"WR25","10","3 out of 5 stars","+10","+2.7","53% (8/15)"
"45",5,"James Cook",BUF,"RB14","12","2 out of 5 stars","-16","+0.9","50% (8/16)"
"46",5,"Josh Jacobs",GB,"RB15","10","1 out of 5 stars","-18","-2.3","38% (5/13)"
"47",5,"Anthony Richardson",IND,"QB5","14","5 out of 5 stars","+5","-0.6","50% (2/4)"
"48",5,"Trey McBride",ARI,"TE3","11","5 out of 5 stars","0","+1.5","43% (7/16)"
"49",5,"Tee Higgins",CIN,"WR26","12","2 out of 5 stars","+12","-0.7","33% (4/12)"
"50",5,"Zay Flowers",BAL,"WR27","14","3 out of 5 stars","+12","-0.1","43% (7/16)"
"51",5,"C.J. Stroud",HOU,"QB6","14","2 out of 5 stars","-2","+2.0","42% (6/14)"
