Pos,PPR,Rank,Player,Team,ESPN Value,UD Value,PriceRank
RB,1,1,Christian McCaffrey,49ers,$57,$57,1
WR,2,2,CeeDee Lamb,Cowboys,$55,$56,3
RB,3,3,Breece Hall,Jets,$56,$55,2
RB,4,7,Bijan Robinson,Falcons,$55,$53,4
WR,5,5,Tyreek Hill,Dolphins,$54,$54,5
WR,6,9,Ja'Marr Chase,Bengals,$53,$51,7
WR,7,8,Amon-Ra St. Brown,Lions,$53,$52,6
WR,8,4,Justin Jefferson,Vikings,$52,$55,8
RB,9,16,Jonathan Taylor,Colts,$51,$40,9
WR,10,6,A.J. Brown,Eagles,$48,$53,11
RB,11,18,Saquon Barkley,Eagles,$50,$37,10
WR,12,10,Garrett Wilson,Jets,$45,$50,13
WR,13,12,Puka Nacua,Rams,$46,$46,12
RB,14,13,Jahmyr Gibbs,Lions,$43,$45,14
RB,15,11,Kyren Williams,Rams,$42,$48,15
RB,16,28,Isiah Pacheco,Chiefs,$40,$29,16
WR,17,29,Chris Olave,Saints,$37,$28,18
RB,18,31,Derrick Henry,Ravens,$32,$26,24
RB,19,32,Travis Etienne,Jaguars,$38,$25,17
WR,20,56,Michael Pittman,Colts,$35,$10,20
WR,21,26,Marvin Harrison,Cardinals,$33,$30,22
WR,22,22,Davante Adams,Raiders,$36,$33,19
WR,23,25,Drake London,Falcons,$32,$31,23
RB,24,50,Joe Mixon,Texans,$27,$13,30
RB,25,58,James Cook,Bills,$28,$9,29
RB,26,19,De'Von Achane,Dolphins,$19,$36,41
WR,27,17,Nico Collins,Texans,$30,$38,27
WR,28,30,Mike Evans,Bucs,$34,$27,21
TE,29,40,Travis Kelce,Chiefs,$22,$20,37
RB,30,49,Rachaad White,Bucs,$31,$13,25
TE,31,37,Sam LaPorta,Lions,$22,$22,35
WR,32,34,DK Metcalf,Seahawks,$30,$23,26
RB,33,78,Alvin Kamara,Saints,$29,$4,28
WR,34,48,Stefon Diggs,Texans,$23,$14,34
RB,35,24,Josh Jacobs,Packers,$21,$32,39
WR,36,20,Brandon Aiyuk,49ers,$26,$35,31
WR,37,36,DeVonta Smith,Eagles,$19,$22,42
WR,38,43,DJ Moore,Bears,$24,$18,33
WR,39,14,Jaylen Waddle,Dolphins,$18,$43,43
RB,40,67,Kenneth WalkerI,Seahawks,$20,$7,40
WR,41,15,Cooper Kupp,Rams,$17,$42,45
QB,42,39,Josh Allen,Bills,$22,$21,36
QB,43,27,Jalen Hurts,Eagles,$21,$30,38
QB,44,57,Anthony Richardson,Colts,$9,$10,58
QB,45,33,Patrick Mahomes,Chiefs,$13,$24,50
WR,46,21,Deebo Samuel,49ers,$25,$34,32
WR,47,23,Malik Nabers,Giants,$15,$32,46
RB,48,77,Rhamondre Stevenson,Patriots,$8,$5,63
TE,49,52,Mark Andrews,Ravens,$12,$11,51
QB,50,38,Lamar Jackson,Ravens,$13,$21,49
RB,51,103,Aaron Jones,Vikings,$7,$2,64
WR,52,55,Zay Flowers,Ravens,$17,$10,44
