manager,rank,player,nfl_team,position,offer_amount,espn_suggested_value,value_diff
Dane,11,Christian McCaffrey,SF,RB,65,59,6
Dane,15,Tyreek Hill,Mia,WR,47,38,9
Dane,18,Najee Harris,Pit,RB,61,50,11
Dane,57,Lamar Jackson,Bal,QB,8,8,0
Dane,73,Allen Lazard,NYJ,WR,6,2,4
Dane,98,Justin Tucker,Bal,K,2,1,1
Dane,103,Dawson Knox,Buf,TE,1,1,0
Dane,113,Tyler Boyd,Cin,WR,1,2,-1
Dane,122,Raheem Mostert,Mia,RB,1,1,0
Dane,131,Marvin Jones Jr.,Jax,WR,1,1,0
Dane,140,DJ Chark,Det,WR,1,2,-1
Dane,148,Colts D/ST,Ind,D/ST,1,1,0
Dane,156,Trevor Lawrence,Jax,QB,1,1,0
Dane,163,Noah Fant,Sea,TE,1,1,0
Dane,167,Kenneth Gainwell,Phi,RB,1,0,1
Dane,169,Khalil Herbert,Chi,RB,1,0,1
Dane,170,Joshua Palmer,LAC,WR,1,1,0
Nick H.,7,Justin Jefferson,Min,WR,52,55,-3
Nick H.,9,Joe Mixon,Cin,RB,46,43,3
Nick H.,33,T.J. Hockenson,Min,TE,8,4,4
Nick H.,34,Javonte Williams,Den,RB,38,35,3
Nick H.,38,Cam Akers,LAR,RB,27,28,-1
Nick H.,52,Diontae Johnson,Pit,WR,16,23,-7
Nick H.,85,Kareem Hunt,Cle,RB,2,4,-2
Nick H.,87,Russell Wilson,Den,QB,2,3,-1
Nick H.,90,Rashod Bateman,Bal,WR,1,6,-5
Nick H.,100,Dallas Goedert,Phi,TE,1,3,-2
Nick H.,110,Tom Brady,TB,QB,1,3,-2
Nick H.,119,Garrett Wilson,NYJ,WR,1,2,-1
Nick H.,128,Trey Lance,SF,QB,1,2,-1
Nick H.,137,Robbie Anderson,FA,WR,1,1,0
Nick H.,145,Darrell Henderson Jr.,FA,RB,1,0,1
Nick H.,153,Steelers D/ST,Pit,D/ST,1,1,0
Nick H.,161,Matt Prater,Ari,K,1,1,0
Diego,20,Mark Andrews,Bal,TE,35,36,-1
Diego,24,A.J. Brown,Phi,WR,25,26,-1
Diego,30,Saquon Barkley,NYG,RB,36,29,7
Diego,35,Mike Williams,LAC,WR,23,22,1
Diego,40,DK Metcalf,Sea,WR,13,15,-2
Diego,43,Justin Herbert,LAC,QB,15,10,5
Diego,44,Courtland Sutton,Den,WR,16,13,3
Diego,58,Tee Higgins,Cin,WR,20,31,-11
Diego,75,DeVonta Smith,Phi,WR,2,5,-3
Diego,76,Bills D/ST,Buf,D/ST,1,1,0
Diego,78,Chase Edmonds,TB,RB,4,4,0
Diego,82,Allen Robinson II,LAR,WR,4,7,-3
Diego,96,AJ Dillon,GB,RB,1,2,-1
Diego,106,Damien Harris,Buf,RB,1,4,-3
Diego,116,Kadarius Toney,KC,WR,1,3,-2
Diego,125,Michael Carter,NYJ,RB,1,2,-1
Diego,134,Daniel Carlson,LV,K,1,1,0
Jordan,13,Nick Chubb,Cle,RB,36,24,12
Jordan,16,Mike Evans,TB,WR,29,30,-1
Jordan,23,George Kittle,SF,TE,19,8,11
