Aug 22,index,PPR,STD,ADP,Std auction,ppr auction,aav,,STD,PPR
Ja'Marr Chase,1,1,1,1.548544726,57,57,63.37997473,,1,1
Bijan Robinson,2,2,2,2.996587413,56,56,60.2883765,,2,2
Justin Jefferson,3,3,3,4.787115758,55,55,57.6850916,,3,3
Saquon Barkley,4,4,4,3.621283004,55,55,60.41313961,,4,4
Jahmyr Gibbs,5,5,5,5.334310647,54,54,57.80195831,,5,5
CeeDee Lamb,6,6,6,6.914756585,53,53,54.80037903,,6,6
Christian McCaffrey,7,7,7,7.994477882,53,53,53.23057486,,7,7
Puka Nacua,8,8,8,10.25592784,52,52,49.08433354,,8,8
Malik Nabers,9,9,9,11.86373128,51,51,49.09096652,,9,9
Amon-Ra St. Brown,10,10,10,10.43706342,50,50,50.66771952,,10,10
Ashton Jeanty,11,11,12,12.67834618,46,48,48.01516109,,12,11
Nico Collins,12,13,13,15.47732443,45,45,44.60138977,,13,13
Derrick Henry,13,19,11,15.24423082,48,36,43.66456096,,11,19
De'Von Achane,14,12,18,16.01430738,37,46,42.67308907,,18,12
Brian Thomas Jr.,15,14,14,18.80054579,43,43,41.02590019,,14,14
A.J. Brown,16,15,15,19.1598808,42,42,39.60012634,,15,15
Jonathan Taylor,17,17,17,19.02566143,38,38,38.73215414,,17,17
Drake London,18,16,16,22.05721701,40,40,37.67530006,,16,16
Josh Jacobs,19,18,19,19.97779404,36,37,37.39734681,,19,18
Brock Bowers,20,20,20,20.8607432,35,35,34.90337859,,20,20
Trey McBride,21,21,21,26.50952223,34,34,30.01263025,,21,21
Bucky Irving,22,22,23,24.55466192,32,33,33.68382817,,23,22
Tee Higgins,23,24,24,28.14420371,32,32,28.66708781,,24,24
Josh Allen,24,28,28,20.92171477,29,29,34.73550839,,28,28
Tyreek Hill,25,25,26,30.93594625,30,31,29.30859128,,26,25
Lamar Jackson,26,29,29,22.86184865,28,28,33.55939183,,30,30
Ladd McConkey,27,26,27,30.93495965,30,30,28.80953885,,27,26
Chase Brown,28,23,32,27.27966953,25,32,33.02937461,,36,23
Davante Adams,29,27,25,35.80441226,31,30,24.88344915,,25,27
Kyren Williams,30,32,22,31.84930146,33,25,28.68288061,,22,36
Jayden Daniels,31,30,30,28.44861712,27,27,28.1853025,,32,32
Jalen Hurts,32,31,31,29.66757914,26,26,26.6569528,,34,34
James Cook,33,33,33,33.28749346,24,24,25.92198358,,37,37
Jaxon Smith-Njigba,34,34,36,39.07261338,22,23,21.31301327,,40,38
Terry McLaurin,35,35,34,40.85749075,23,22,19.60675932,,38,39
Joe Burrow,36,39,39,33.91572655,21,21,23.67532468,,43,43
Omarion Hampton,37,37,37,43.69533616,22,22,22.52716361,,41,41
George Kittle,38,40,40,36.30915645,20,20,20.29144301,,45,45
Kenneth Walker III,39,38,38,42.59908464,21,21,20.95167404,,42,42
Mike Evans,40,45,35,46.20334204,22,17,17.84428301,,39,50
Alvin Kamara,41,41,42,42.94178812,19,19,19.35060013,,47,46
Garrett Wilson,42,36,48,45.60271719,14,22,18.43461781,,53,40
Chuba Hubbard,43,42,41,48.98612001,19,19,17.55495894,,46,47
James Conner,44,43,43,53.44012454,18,18,16.42135186,,48,48
TreVeyon Henderson,45,44,44,53.31714963,17,17,17.24194567,,49,49
Marvin Harrison Jr.,46,46,47,50.61395339,15,15,16.22583702,,52,51
Xavier Worthy,47,47,46,51.91922159,15,15,13.03790272,,51,52
DK Metcalf,48,48,50,50.7497263,13,14,14.12349968,,55,53
Breece Hall,49,51,45,58.07758777,17,12,13.87965888,,50,56
Zay Flowers,50,53,49,62.40552737,13,11,9.964308275,,54,58
DJ Moore,51,49,54,61.46385867,10,13,10.67087808,,59,54
D'Andre Swift,52,52,52,62.74532171,11,11,10.8679722,,57,57
Rashee Rice,53,50,55,67.40767957,10,13,9.68888187,,60,55
Courtland Sutton,54,54,53,67.18383543,11,10,9.860707517,,58,59
Sam LaPorta,55,61,61,51.53085246,8,8,9.963372277,,67,67
Patrick Mahomes,56,62,62,49.55108162,8,8,12.74279379,,68,68
Calvin Ridley,57,55,51,71.07852645,12,10,8.871762476,,56,60
DeVonta Smith,58,56,60,70.97688155,9,10,8.865761213,,66,61
Baker Mayfield,59,63,63,58.48175752,8,8,9.358885017,,70,70
Jameson Williams,60,59,56,77.23287869,10,9,7.756790903,,61,64
Jaylen Waddle,61,57,59,76.27667824,9,10,7.451042325,,64,62
George Pickens,62,60,57,76.15078611,10,9,8.190145294,,62,66
Jerry Jeudy,63,58,65,76.74905207,7,9,6.378395452,,74,63
T.J. Hockenson,64,69,69,61.8807872,6,6,6.786864541,,78,78
David Montgomery,65,67,67,67.933302,7,7,8.25078964,,76,76
Rome Odunze,66,64,58,87.88788905,9,7,5.23120657,,63,72
Tetairoa McMillan,67,65,64,83.40244052,7,7,6.7116235,,72,74
Travis Hunter,68,66,66,79.77518767,7,7,6.80953885,,75,75
