"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","SOS","ECR VS ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0"
"3",1,"CeeDee Lamb",DAL,"WR2","10","2 out of 5 stars","+3"
"4",1,"Justin Jefferson",MIN,"WR3","6","2 out of 5 stars","+1"
"5",1,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","-1"
"6",2,"Malik Nabers",NYG,"WR4","14","2 out of 5 stars","+3"
"7",2,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-4"
"8",2,"Amon-Ra St. Brown",DET,"WR5","8","3 out of 5 stars","0"
"9",2,"Nico Collins",HOU,"WR6","6","4 out of 5 stars","+4"
"10",2,"Puka Nacua",LAR,"WR7","8","3 out of 5 stars","+2"
"11",2,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-4"
"12",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+2"
"13",2,"Drake London",ATL,"WR9","5","3 out of 5 stars","+5"
"14",3,"Ashton Jeanty",LV,"RB5","8","2 out of 5 stars","-3"
"15",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+5"
"16",3,"De'Von Achane",MIA,"RB6","12","4 out of 5 stars","-1"
"17",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","0"
"18",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+8"
"19",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+8"
"20",3,"Derrick Henry",BAL,"RB7","7","4 out of 5 stars","-10"
"21",3,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+12"
"22",4,"Chase Brown",CIN,"RB8","10","4 out of 5 stars","0"
"23",4,"Tee Higgins",CIN,"WR13","10","3 out of 5 stars","+6"
"24",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-3"
"25",4,"Bucky Irving",TB,"RB9","9","3 out of 5 stars","-2"
"26",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-2"
"27",4,"Garrett Wilson",NYJ,"WR14","9","4 out of 5 stars","+15"
"28",4,"Josh Jacobs",GB,"RB10","5","4 out of 5 stars","-12"
"29",4,"Tyreek Hill",MIA,"WR15","12","3 out of 5 stars","+2"
"30",4,"Jonathan Taylor",IND,"RB11","11","2 out of 5 stars","-11"
"31",4,"George Kittle",SF,"TE3","14","3 out of 5 stars","+7"
"32",4,"Davante Adams",LAR,"WR16","8","3 out of 5 stars","+8"
"33",4,"Mike Evans",TB,"WR17","9","3 out of 5 stars","+6"
"34",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-4"
"35",5,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","-10"
"36",5,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","+8"
"37",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","-3"
"38",5,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars","+3"
"39",5,"Alvin Kamara",NO,"RB13","11","4 out of 5 stars","-3"
"40",5,"DJ Moore",CHI,"WR20","5","2 out of 5 stars","+8"
"41",5,"James Cook",BUF,"RB14","7","4 out of 5 stars","-13"
"42",5,"Kenneth Walker III",SEA,"RB15","8","3 out of 5 stars","+1"
"43",5,"Omarion Hampton",LAC,"RB16","12","2 out of 5 stars","-8"
"44",5,"Courtland Sutton",DEN,"WR21","12","3 out of 5 stars","+7"
"45",5,"Breece Hall",NYJ,"RB17","9","5 out of 5 stars","-8"
"46",5,"DK Metcalf",PIT,"WR22","5","4 out of 5 stars","+3"
"47",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-15"
"48",5,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","+7"
"49",5,"Tetairoa McMillan",CAR,"WR24","14","4 out of 5 stars","+14"
"50",6,"Chuba Hubbard",CAR,"RB18","14","3 out of 5 stars","-5"
"51",6,"James Conner",ARI,"RB19","8","3 out of 5 stars","-4"
"52",6,"TreVeyon Henderson",NE,"RB20","14","4 out of 5 stars","-6"
"53",6,"Jaylen Waddle",MIA,"WR25","12","3 out of 5 stars","+19"
"54",6,"Xavier Worthy",KC,"WR26","10","3 out of 5 stars","-1"
"55",6,"Calvin Ridley",TEN,"WR27","10","4 out of 5 stars","+9"
"56",6,"George Pickens",DAL,"WR28","10","2 out of 5 stars","+10"
"57",6,"Zay Flowers",BAL,"WR29","7","3 out of 5 stars","+1"
"58",6,"Jameson Williams",DET,"WR30","8","3 out of 5 stars","-1"
"59",6,"Tony Pollard",TEN,"RB21","10","2 out of 5 stars","+10"
"60",6,"RJ Harvey",DEN,"RB22","12","2 out of 5 stars","0"
"61",6,"D'Andre Swift",CHI,"RB23","5","3 out of 5 stars","-7"
"62",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars","-12"
"63",6,"T.J. Hockenson",MIN,"TE4","6","3 out of 5 stars","+2"
"64",6,"Chris Olave",NO,"WR31","11","4 out of 5 stars","+14"
"65",6,"David Montgomery",DET,"RB24","8","2 out of 5 stars","-9"
"66",6,"Isiah Pacheco",KC,"RB25","10","2 out of 5 stars","-7"
"67",6,"Aaron Jones Sr.",MIN,"RB26","6","3 out of 5 stars","+1"
"68",6,"Travis Hunter",JAC,"WR32","8","4 out of 5 stars","+2"
"69",7,"Sam LaPorta",DET,"TE5","8","3 out of 5 stars","-17"
"70",7,"Baker Mayfield",TB,"QB7","9","2 out of 5 stars","-8"
"71",7,"Rashee Rice",KC,"WR33","10","3 out of 5 stars","-4"
"72",7,"Jerry Jeudy",CLE,"WR34","9","2 out of 5 stars","+2"
"73",7,"Bo Nix",DEN,"QB8","12","4 out of 5 stars","-2"
"74",7,"Rome Odunze",CHI,"WR35","5","2 out of 5 stars","+2"
"75",7,"Travis Kelce",KC,"TE6","10","3 out of 5 stars","-14"
"76",7,"Stefon Diggs",NE,"WR36","14","3 out of 5 stars","+6"
"77",7,"Emeka Egbuka",TB,"WR37","9","3 out of 5 stars","+12"
"78",7,"Ricky Pearsall",SF,"WR38","14","4 out of 5 stars","+10"
"79",7,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars","+4"
"80",7,"Tyrone Tracy Jr.",NYG,"RB27","14","3 out of 5 stars","-3"
"81",7,"Jaylen Warren",PIT,"RB28","5","4 out of 5 stars","+4"
"82",7,"Jakobi Meyers",LV,"WR39","8","4 out of 5 stars","+4"
"83",7,"Dak Prescott",DAL,"QB10","10","2 out of 5 stars","+13"
"84",7,"David Njoku",CLE,"TE7","9","3 out of 5 stars","-3"
"85",7,"Evan Engram",DEN,"TE8","12","3 out of 5 stars","-5"
"86",7,"Kaleb Johnson",PIT,"RB29","5","4 out of 5 stars","-11"
"87",7,"Mark Andrews",BAL,"TE9","7","3 out of 5 stars","-14"
"88",7,"Brock Purdy",SF,"QB11","14","4 out of 5 stars","+6"
"89",8,"Travis Etienne Jr.",JAC,"RB30","8","2 out of 5 stars","+4"
"90",8,"Justin Fields",NYJ,"QB12","9","5 out of 5 stars","+19"
"91",8,"Khalil Shakir",BUF,"WR40","7","3 out of 5 stars","+6"
"92",8,"Jordan Addison",MIN,"WR41","6","2 out of 5 stars","-1"
"93",8,"Zach Charbonnet",SEA,"RB31","8","3 out of 5 stars","+15"
"94",8,"Deebo Samuel Sr.",WAS,"WR42","12","3 out of 5 stars","-15"
"95",8,"Jauan Jennings",SF,"WR43","14","4 out of 5 stars","+10"
"96",8,"Josh Downs",IND,"WR44","11","4 out of 5 stars","+26"
"97",8,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars","+13"
"98",8,"Michael Pittman Jr.",IND,"WR45","11","4 out of 5 stars","+13"
"99",8,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+19"
"100",8,"Javonte Williams",DAL,"RB32","10","2 out of 5 stars","+6"
"101",8,"Drake Maye",NE,"QB15","14","5 out of 5 stars","+24"
"102",8,"Jordan Mason",MIN,"RB33","6","3 out of 5 stars","-2"
"103",8,"Tyler Warren",IND,"TE10","11","3 out of 5 stars","-13"
"104",8,"Matthew Golden",GB,"WR46","5","2 out of 5 stars","-12"
"105",8,"Jared Goff",DET,"QB16","8","2 out of 5 stars","-7"
"106",8,"Tucker Kraft",GB,"TE11","5","2 out of 5 stars","+1"
"107",8,"Cooper Kupp",SEA,"WR47","8","3 out of 5 stars","-20"
"108",8,"Chris Godwin Jr.",TB,"WR48","9","3 out of 5 stars","-13"
"109",8,"Jake Ferguson",DAL,"TE12","10","2 out of 5 stars","+24"
"110",8,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+26"
"111",8,"Jayden Reed",GB,"WR49","5","2 out of 5 stars","+8"
"112",8,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars","+43"
"113",8,"Jacory Croskey-Merritt",WAS,"RB34","12","2 out of 5 stars","-9"
"114",8,"J.K. Dobbins",DEN,"RB35","12","2 out of 5 stars","-11"
"115",8,"Austin Ekeler",WAS,"RB36","12","2 out of 5 stars","+1"
"116",8,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+10"
"117",8,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+24"
"118",8,"Rhamondre Stevenson",NE,"RB37","14","4 out of 5 stars","-4"
"119",9,"Dalton Kincaid",BUF,"TE13","7","3 out of 5 stars","+4"
"120",9,"Darnell Mooney",ATL,"WR50","5","3 out of 5 stars","+14"
"121",9,"Tank Bigsby",JAC,"RB38","8","2 out of 5 stars","+6"
"122",9,"Cam Skattebo",NYG,"RB39","14","3 out of 5 stars","-23"
"123",9,"Keon Coleman",BUF,"WR51","7","3 out of 5 stars","-6"
"124",9,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars","+15"
"125",9,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-10"
"126",9,"Christian Kirk",HOU,"WR52","6","4 out of 5 stars","+25"
"127",9,"Rashid Shaheed",NO,"WR53","11","4 out of 5 stars","+16"
"128",9,"Rachaad White",TB,"RB40","9","3 out of 5 stars","+12"
"129",9,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","+40"
"130",9,"Brandon Aiyuk",SF,"WR54","14","4 out of 5 stars","+12"
"131",9,"Braelon Allen",NYJ,"RB41","9","5 out of 5 stars","+13"
"132",9,"Bryce Young",CAR,"QB22","14","3 out of 5 stars","+47"
"133",9,"Najee Harris",LAC,"RB42","12","2 out of 5 stars","-2"
"134",9,"Michael Penix Jr.",ATL,"QB23","5","4 out of 5 stars","+44"
"135",9,"Joe Mixon",HOU,"RB43","6","2 out of 5 stars","-51"
"136",9,"Tyjae Spears",TEN,"RB44","10","2 out of 5 stars","+17"
"137",9,"Quinshon Judkins",CLE,"RB45","9","4 out of 5 stars","-25"
"138",9,"Luther Burden III",CHI,"WR55","5","2 out of 5 stars","+25"
"139",9,"Trey Benson",ARI,"RB46","8","3 out of 5 stars","+17"
"140",9,"Cedric Tillman",CLE,"WR56","9","2 out of 5 stars","+53"
"141",9,"Kyle Pitts Sr.",ATL,"TE16","5","3 out of 5 stars","-11"
"142",9,"Hunter Henry",NE,"TE17","14","3 out of 5 stars","+17"
"143",9,"Rashod Bateman",BAL,"WR57","7","3 out of 5 stars","+23"
"144",9,"Marvin Mims Jr.",DEN,"WR58","12","3 out of 5 stars","+6"
"145",9,"Brian Robinson Jr.",SF,"RB47","14","3 out of 5 stars","-25"
"146",9,"Ray Davis",BUF,"RB48","7","4 out of 5 stars","+24"
"147",9,"Matthew Stafford",LAR,"QB24","8","3 out of 5 stars","+28"
"148",9,"Jaydon Blue",DAL,"RB49","10","2 out of 5 stars","-11"
"149",9,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+40"
"150",9,"Jerome Ford",CLE,"RB50","9","4 out of 5 stars","+8"
"151",9,"Jayden Higgins",HOU,"WR59","6","4 out of 5 stars","-5"
"152",9,"Bhayshul Tuten",JAC,"RB51","8","2 out of 5 stars","0"
"153",9,"Tyler Allgeier",ATL,"RB52","5","4 out of 5 stars","+11"
"154",9,"Dylan Sampson",CLE,"RB53","9","4 out of 5 stars","+51"
"155",9,"Wan'Dale Robinson",NYG,"WR60","14","2 out of 5 stars","+26"
"156",10,"Zach Ertz",WAS,"TE18","12","3 out of 5 stars","-2"
"157",10,"Nick Chubb",HOU,"RB54","6","2 out of 5 stars","-19"
"158",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-56"
"159",10,"Keenan Allen",LAC,"WR61","12","3 out of 5 stars","-10"
"160",10,"Jonnu Smith",PIT,"TE19","5","3 out of 5 stars","-12"
"161",10,"Romeo Doubs",GB,"WR62","5","2 out of 5 stars","+52"
"162",10,"Marquise Brown",KC,"WR63","10","3 out of 5 stars","-2"
"163",10,"DeMario Douglas",NE,"WR64","14","3 out of 5 stars","+51"
"164",10,"Adam Thielen",MIN,"WR65","6","2 out of 5 stars","+3"
"165",10,"Cam Ward",TEN,"QB26","10","2 out of 5 stars","+9"
"166",10,"Sam Darnold",SEA,"QB27","8","4 out of 5 stars","+46"
"167",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-54"
"168",10,"Kyle Williams",NE,"WR66","14","3 out of 5 stars","+58"
"169",10,"Rico Dowdle",CAR,"RB55","14","3 out of 5 stars","+37"
"170",10,"Tre' Harris",LAC,"WR67","12","3 out of 5 stars","+49"
"171",10,"Brenton Strange",JAC,"TE20","8","3 out of 5 stars","+19"
"172",10,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-44"
"173",10,"Joshua Palmer",BUF,"WR68","7","3 out of 5 stars","+55"
"174",10,"Xavier Legette",CAR,"WR69","14","4 out of 5 stars","+2"
"175",10,"Baltimore Ravens",BAL,"DST4","7","3 out of 5 stars","-54"
"176",10,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","-31"
