"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","Id"
"Ja'Marr Chase","1","1.1","0.09","2","CIN","WR","1","","b24eb93f-72bd-4c23-bed6-807d542bab65"
"CeeDee Lamb","2","3.6","0.44","29","DAL","WR","2","","1b76bd49-ac28-457e-96a6-4b2135c9ff73"
"Saquon Barkley","3","4.8","0.38","1","PHI","RB","1","","1dad2b6f-6089-4844-8319-6f1eb23b5003"
"Jahmyr Gibbs","4","4.5","0.11","3","DET","RB","2","","0ec23474-d4b8-4dcd-9157-b6de1fb8ff84"
"Bijan Robinson","5","2.4","-1.08","5","ATL","RB","3","","b42031b0-6abb-4621-90c0-e3f8041f6c9d"
"Christian McCaffrey","6","6.9","0.13","","SF","RB","4","","baefa551-0611-4836-b43a-1d6c105211b7"
"Justin Jefferson","7","5.4","-0.3","18","MIN","WR","3","","fb2b25a4-b791-4ef0-bc45-41099b503a69"
"Nico Collins","8","8.9","0.1","21","HOU","WR","4","","13c991e1-747d-4cbd-9bdb-a5e017bdb77b"
"Amon-Ra St. Brown","9","11","0.18","9","DET","WR","5","","3ee87ad4-537e-46ac-8cf4-d2bf5f8540ed"
"Puka Nacua","10","10.7","0.07","20","LA","WR","6","","827b3a04-55f4-4c0e-940f-62be3233dd15"
"Brian Thomas","11","12.5","0.12","25","JAX","WR","7","","6d89c0c5-4756-43ab-b80f-70fc83e5efa8"
"Malik Nabers","12","9.5","-0.26","28","NYG","WR","8","","c2ff3b1f-dbc0-4314-986a-3a2c1dc5bf50"
"Drake London","13","15.1","0.14","34","ATL","WR","9","","0fd6a099-0696-4aeb-b7c8-bf3c5280db0f"
"Ashton Jeanty","14","12.6","-0.11","","LV","RB","5","Rookie","8f217c44-cc37-44a8-84f9-d82cd3fe91ff"
"A.J. Brown","15","17.7","0.15","37","PHI","WR","10","","2eb19695-162b-4d6f-970d-266b3513ddbd"
"Derrick Henry","16","14","-0.14","4","BAL","RB","6","","9b791eb1-eb3f-4216-87c5-a381fd694aff"
"Tee Higgins","17","25.3","0.33","12","CIN","WR","11","","43973f1b-ff52-44cd-a5d1-43426587f368"
