RK,TIERS,PLAYER NAME,TEAM,POS,BYE,SOS,ECR VS ADP
1,1,Ja'Marr Chase,CIN,WR1,6,,2
2,1,Puka Nacua,LAR,WR2,11,,2
3,1,Bijan Robinson,ATL,RB1,11,,-1
4,1,Jahmyr Gibbs,DET,RB2,6,,-3
5,1,Jaxon Smith-Njigba,SEA,WR3,11,,0
6,2,Amon-Ra St. Brown,DET,WR4,6,,1
7,2,CeeDee Lamb,DAL,WR5,14,,4
8,2,Christian McCaffrey,SF,RB3,8,,-2
9,2,Justin Jefferson,MIN,WR6,6,,1
10,2,Jonathan Taylor,IND,RB4,13,,-1
11,2,Drake London,ATL,WR7,11,,7
12,3,Nico Collins,HOU,WR8,8,,10
13,3,A.J. Brown,NE,WR9,11,,6
14,3,Ashton Jeanty,LV,RB5,13,,-6
15,3,George Pickens,DAL,WR10,14,,8
16,3,Trey McBride,ARI,TE1,14,,11
17,3,De'Von Achane,MIA,RB6,6,,-1
18,3,James Cook III,BUF,RB7,7,,-6
19,3,Chris Olave,NO,WR11,8,,9
20,3,Chase Brown,CIN,RB8,6,,-5
21,3,Brock Bowers,LV,TE2,13,,-1
22,3,Rashee Rice,KC,WR12,5,,2
23,4,Josh Allen,BUF,QB1,7,,6
24,4,Omarion Hampton,LAC,RB9,7,,-11
25,4,DeVonta Smith,PHI,WR13,10,,0
26,4,Saquon Barkley,PHI,RB10,10,,-12
27,4,Tetairoa McMillan,CAR,WR14,5,,12
28,4,Garrett Wilson,NYJ,WR15,13,,8
29,4,Kenneth Walker III,KC,RB11,5,,-12
30,4,Zay Flowers,BAL,WR16,13,,1
31,4,Tee Higgins,CIN,WR17,6,,3
32,4,Lamar Jackson,BAL,QB2,13,,24
33,4,Drake Maye,NE,QB3,11,,30
34,4,Ladd McConkey,LAC,WR18,7,,1
35,4,Jeremiyah Love,ARI,RB12,14,,-9
36,4,Malik Nabers,NYG,WR19,8,,4
37,5,Colston Loveland,CHI,TE3,10,,7
38,5,Jaylen Waddle,DEN,WR20,10,,3
39,5,Derrick Henry,BAL,RB13,13,,-18
40,5,Emeka Egbuka,TB,WR21,10,,-7
41,5,Breece Hall,NYJ,RB14,13,,-11
42,5,Kyren Williams,LAR,RB15,11,,-10
43,5,Terry McLaurin,WAS,WR22,7,,-1
44,5,Joe Burrow,CIN,QB4,6,,18
45,5,Josh Jacobs,GB,RB16,11,,-2
46,5,Luther Burden III,CHI,WR23,10,,-1
47,5,Javonte Williams,DAL,RB17,14,,-10
48,5,Travis Etienne Jr.,NO,RB18,8,,-10
49,5,Davante Adams,LAR,WR24,11,,-1
50,5,DJ Moore,BUF,WR25,7,,3
51,5,Jameson Williams,DET,WR26,6,,-1
52,6,Tyler Warren,IND,TE4,13,,8
53,6,Mike Evans,SF,WR27,8,,-2
54,6,Cam Skattebo,NYG,RB19,8,,-8
