Rank,Player,Team,Pos,ECR,Diff,Direction
28,Trey McBride,ARI,TE,16,+12,ECR higher than Boone
35,Cam Skattebo,NYG,RB,54,+19,Boone higher than ECR
39,Tetairoa McMillan,CAR,WR,27,+12,ECR higher than Boone
42,Garrett Wilson,NYJ,WR,28,+14,ECR higher than Boone
44,D'Andre Swift,CHI,RB,62,+18,Boone higher than ECR
46,Lamar Jackson,BAL,QB,32,+14,ECR higher than Boone
48,Malik Nabers,NYG,WR,36,+12,ECR higher than Boone
50,David Montgomery,HOU,RB,64,+14,Boone higher than ECR
57,Parker Washington,JAC,WR,92,+35,Boone higher than ECR
62,Brian Thomas Jr.,JAC,WR,77,+15,Boone higher than ECR
65,Drake Maye,NE,QB,33,+32,ECR higher than Boone
66,Joe Burrow,CIN,QB,44,+22,ECR higher than Boone
71,Makai Lemon,PHI,WR,96,+25,Boone higher than ECR
72,Jordyn Tyson,NO,WR,86,+14,Boone higher than ECR
80,Quentin Johnston,LAC,WR,104,+24,Boone higher than ECR
81,Jayden Reed,GB,WR,112,+31,Boone higher than ECR
82,Jaylen Warren,PIT,RB,69,+13,ECR higher than Boone
86,Courtland Sutton,DEN,WR,74,+12,ECR higher than Boone
87,Kenny Gainwell,TB,RB,102,+15,Boone higher than ECR
88,J.K. Dobbins,DEN,RB,107,+19,Boone higher than ECR
89,Jonathon Brooks,CAR,RB,128,+39,Boone higher than ECR
93,Harold Fannin Jr.,CLE,TE,71,+22,ECR higher than Boone
94,George Kittle,SF,TE,111,+17,Boone higher than ECR
96,Kyle Pitts Sr.,ATL,TE,78,+18,ECR higher than Boone
98,Blake Corum,LAR,RB,110,+12,Boone higher than ECR
99,RJ Harvey,DEN,RB,85,+14,ECR higher than Boone
100,Rachaad White,WAS,RB,113,+13,Boone higher than ECR
103,Wan'Dale Robinson,TEN,WR,87,+16,ECR higher than Boone
105,Jacory Croskey-Merritt,WAS,RB,124,+19,Boone higher than ECR
106,Jaxson Dart,NYG,QB,91,+15,ECR higher than Boone
108,Jalen Coker,CAR,WR,132,+24,Boone higher than ECR
109,Michael Wilson,ARI,WR,90,+19,ECR higher than Boone
111,KC Concepcion,CLE,WR,126,+15,Boone higher than ECR
113,Michael Pittman Jr.,PIT,WR,83,+30,ECR higher than Boone
116,Travis Kelce,KC,TE,97,+19,ECR higher than Boone
118,Stefon Diggs,FA,WR,177,+59,Boone higher than ECR
120,Rashid Shaheed,SEA,WR,146,+26,Boone higher than ECR
121,Jalen McMillan,TB,WR,161,+40,Boone higher than ECR
125,Jonah Coleman,DEN,RB,158,+33,Boone higher than ECR
126,Patrick Mahomes II,KC,QB,99,+27,ECR higher than Boone
127,Chris Rodriguez Jr.,JAC,RB,139,+12,Boone higher than ECR
129,Chig Okonkwo,WAS,TE,154,+25,Boone higher than ECR
130,Adonai Mitchell,NYJ,WR,160,+30,Boone higher than ECR
132,Keaton Mitchell,LAC,RB,159,+27,Boone higher than ECR
134,Brian Robinson Jr.,ATL,RB,164,+30,Boone higher than ECR
138,Emmett Johnson,KC,RB,192,+54,Boone higher than ECR
139,Nicholas Singleton,TEN,RB,213,+74,Boone higher than ECR
140,Kaytron Allen,WAS,RB,222,+82,Boone higher than ECR
141,Braelon Allen,NYJ,RB,169,+28,Boone higher than ECR
142,Tank Bigsby,PHI,RB,165,+23,Boone higher than ECR
143,Ray Davis,BUF,RB,195,+52,Boone higher than ECR
147,Antonio Williams,WAS,WR,206,+59,Boone higher than ECR
148,Jake Ferguson,DAL,TE,105,+43,ECR higher than Boone
149,Matthew Stafford,LAR,QB,103,+46,ECR higher than Boone
150,Jared Goff,DET,QB,109,+41,ECR higher than Boone
152,Tyjae Spears,TEN,RB,140,+12,ECR higher than Boone
154,Khalil Shakir,BUF,WR,116,+38,ECR higher than Boone
155,Demond Claiborne,MIN,RB,271,+116,Boone higher than ECR
156,George Holani,SEA,RB,283,+127,Boone higher than ECR
158,Jalen Nailor,LV,WR,199,+41,Boone higher than ECR
159,Isaac TeSlaa,DET,WR,188,+29,Boone higher than ECR
160,Ryan Flournoy,DAL,WR,176,+16,Boone higher than ECR
161,Tyler Shough,NO,QB,122,+39,ECR higher than Boone
162,Malik Willis,MIA,QB,131,+31,ECR higher than Boone
163,Baker Mayfield,TB,QB,118,+45,ECR higher than Boone
164,Jordan Love,GB,QB,117,+47,ECR higher than Boone
166,Woody Marks,HOU,RB,135,+31,ECR higher than Boone
167,Oronde Gadsden II,LAC,TE,155,+12,ECR higher than Boone
168,Mike Washington Jr.,LV,RB,204,+36,Boone higher than ECR
169,Jordan James,SF,RB,277,+108,Boone higher than ECR
170,MarShawn Lloyd,GB,RB,245,+75,Boone higher than ECR
171,Jaydon Blue,DAL,RB,262,+91,Boone higher than ECR
174,Houston Texans,HOU,DST,157,+17,ECR higher than Boone
175,Malik Washington,MIA,WR,202,+27,Boone higher than ECR
176,Zachariah Branch,ATL,WR,237,+61,Boone higher than ECR
177,Brandon Aiyuk,SF,WR,232,+55,Boone higher than ECR
178,Jauan Jennings,MIN,WR,153,+25,ECR higher than Boone
180,Deebo Samuel Sr.,FA,WR,201,+21,Boone higher than ECR
181,Sean Tucker,TB,RB,212,+31,Boone higher than ECR
182,Ollie Gordon II,MIA,RB,244,+62,Boone higher than ECR
183,Justice Hill,BAL,RB,240,+57,Boone higher than ECR
184,Los Angeles Rams,LAR,DST,171,+13,ECR higher than Boone
186,Chris Brooks,GB,RB,265,+79,Boone higher than ECR
187,Kaelon Black,SF,RB,293,+106,Boone higher than ECR
188,Sam Darnold,SEA,QB,138,+50,ECR higher than Boone
189,Seattle Seahawks,SEA,DST,168,+21,ECR higher than Boone
190,Jerry Jeudy,CLE,WR,150,+40,ECR higher than Boone
192,Greg Dulcich,MIA,TE,278,+86,Boone higher than ECR
194,Juwan Johnson,NO,TE,141,+53,ECR higher than Boone
195,Jaylen Wright,MIA,RB,233,+38,Boone higher than ECR
196,Najee Harris,LAC,RB,304,+108,Boone higher than ECR
198,Kendre Miller,NO,RB,301,+103,Boone higher than ECR
199,Devin Neal,NO,RB,273,+74,Boone higher than ECR
200,DJ Giddens,IND,RB,257,+57,Boone higher than ECR
201,Emari Demercado,KC,RB,298,+97,Boone higher than ECR
202,C.J. Stroud,HOU,QB,134,+68,ECR higher than Boone
203,Denver Broncos,DEN,DST,163,+40,ECR higher than Boone
204,Philadelphia Eagles,PHI,DST,172,+32,ECR higher than Boone
205,Ka'imi Fairbairn,HOU,K,190,+15,ECR higher than Boone
206,Cam Ward,TEN,QB,145,+61,ECR higher than Boone
207,Daniel Jones,IND,QB,151,+56,ECR higher than Boone
208,Jacoby Brissett,ARI,QB,179,+29,ECR higher than Boone
209,Dalton Schultz,HOU,TE,166,+43,ECR higher than Boone
210,Phil Mafah,DAL,RB,386,+176,Boone higher than ECR
211,Emanuel Wilson,SEA,RB,186,+25,ECR higher than Boone
212,LeQuint Allen Jr.,JAC,RB,272,+60,Boone higher than ECR
213,Malachi Fields,NYG,WR,256,+43,Boone higher than ECR
214,Germie Bernard,PIT,WR,228,+14,Boone higher than ECR
217,Jaylin Noel,HOU,WR,185,+32,ECR higher than Boone
218,Skyler Bell,BUF,WR,311,+93,Boone higher than ECR
219,Tory Horton,SEA,WR,260,+41,Boone higher than ECR
220,Chris Bell,MIA,WR,251,+31,Boone higher than ECR
221,Darnell Mooney,NYG,WR,197,+24,ECR higher than Boone
222,Elijah Sarratt,BAL,WR,252,+30,Boone higher than ECR
223,Pat Bryant,DEN,WR,205,+18,ECR higher than Boone
224,Ted Hurst III,TB,WR,242,+18,Boone higher than ECR
226,Tyreek Hill,FA,WR,258,+32,Boone higher than ECR
227,Troy Franklin,DEN,WR,174,+53,ECR higher than Boone
228,Bryce Young,CAR,QB,152,+76,ECR higher than Boone
229,T.J. Hockenson,MIN,TE,173,+56,ECR higher than Boone
230,New England Patriots,NE,DST,180,+50,ECR higher than Boone
231,Cam Little,JAC,K,198,+33,ECR higher than Boone
232,Jacksonville Jaguars,JAC,DST,183,+49,ECR higher than Boone
234,Aaron Rodgers,PIT,QB,219,+15,ECR higher than Boone
235,Gunnar Helm,TEN,TE,207,+28,ECR higher than Boone
237,Eli Stowers,PHI,TE,259,+22,Boone higher than ECR
