Player,Rank,ADP,Diff,Finish2025,Team,Pos,PosRank,Notes,Id
Jahmyr Gibbs,1,1.7,,5,DET,RB,1,,5daf3960-25f3-402a-800a-41f8ae4c38b5
Bijan Robinson,2,1.5,,2,ATL,RB,2,,25cbfc55-cb8a-4589-85de-e91870f65952
Ja'Marr Chase,3,3.1,,13,CIN,WR,1,,e05bf051-69f3-4483-8ce3-20b365a19cac
Puka Nacua,4,4.1,,4,LAR,WR,2,,cedb5dc7-eb8d-4928-bf85-aea13ee90967
Jaxon Smith-Njigba,5,5.2,,7,SEA,WR,3,,ad8c9f6a-fee3-4edf-95a9-83208575555e
Jonathan Taylor,6,6.6,,3,IND,RB,3,,c34627c5-0225-45a3-b729-c49827bf5a8e
Christian McCaffrey,7,7,,1,SF,RB,4,,22bb912e-3c0d-498f-8ef9-86d332d90e1b
Amon-Ra St. Brown,8,9,,12,DET,WR,4,,da561afd-b293-4e29-8986-fe658247131d
Justin Jefferson,9,9.4,,83,MIN,WR,5,,3ccbc4c7-afff-4477-93c6-10c823f53098
De'Von Achane,10,14,,8,MIA,RB,5,,3ab31e43-ec23-46c5-b59d-b3850ad1ae3a
CeeDee Lamb,11,8.7,,42,DAL,WR,6,,21ec9ffa-959e-4e5e-8d64-88776b1b4150
James Cook,12,11.2,,6,BUF,RB,6,,60d2284c-5727-4476-8eaa-fa734e0d9f01
Jeremiyah Love,13,26.9,,,ARI,RB,7,,1cc09dd6-2918-4379-b17a-562dc04857c5
Ashton Jeanty,14,12,,23,LV,RB,8,,9f4b0912-cb1e-4d16-b82b-45b05b012839
Brock Bowers,15,23.1,,63,LV,TE,1,,91204d39-aa4f-4927-9728-3c80fde04371
Saquon Barkley,16,14.1,,20,PHI,RB,9,,674152bc-219e-4a7e-88e1-0b7bab267127
Omarion Hampton,17,16.7,,68,LAC,RB,10,,87e96674-63b1-4d0d-bc76-32e0d9327539
Kenneth Walker III,18,15.2,,29,KC,RB,11,,57c18f3f-4ec5-4e23-9fb1-ea9b9d35ea95
Derrick Henry,19,19,,10,BAL,RB,12,,9eafc1c1-9dcf-40c6-a66c-10a04e720600
Chase Brown,20,20.5,,17,CIN,RB,13,,6ed8fa4f-065c-4166-bd39-81555e655948
George Pickens,21,25.2,,15,DAL,WR,7,,02c7a4a9-1a8c-43b9-9b1c-d3eba62cfa47
Drake London,22,19.5,,30,ATL,WR,8,,2b821176-4aeb-4159-b49e-c87dfc4a25d9
Malik Nabers,23,17.5,,131,NYG,WR,9,,c07c6a7e-5738-4d6d-9cc6-5e8ce3707358
Rashee Rice,24,20.8,,50,KC,WR,10,,1f6e0b0d-f18a-41cd-8df6-18d49ef463c1
Josh Jacobs,25,26.9,,14,GB,RB,14,,01714e65-49e3-4185-8e4a-6a7ae051d5bf
Travis Etienne Jr.,26,30.6,,11,NO,RB,15,,64d36d44-e477-496c-8250-80bc47e1d6d6
Josh Allen,27,30.4,,21,BUF,QB,1,,c983ef21-e50f-42a8-b7b1-eb75b071a74f
Trey McBride,28,19.8,,16,ARI,TE,2,,2955db5c-a718-4e9b-a9bf-c9c51a1a4c11
Nico Collins,29,25.5,,35,HOU,WR,11,,bcd9dd40-142a-4f3c-b47e-654117d32658
Breece Hall,30,32.9,,38,NYJ,RB,16,,15a3bde4-5f94-46b8-9b44-928336c230fd
Tetairoa McMillan,31,33.8,,49,CAR,WR,12,,a3a3a72e-899e-4bbb-962d-dd308af3a320
Tee Higgins,32,34.5,,37,CIN,WR,13,,6f55c5db-6322-482c-a15b-4d659d3bb07d
Javonte Williams,33,38.2,,19,DAL,RB,17,,38b6b4a2-35c6-47c8-9f89-758091b3a630
Kyren Williams,34,34.3,,9,LAR,RB,18,,03e908d2-14b1-49ed-a6e6-56e41a5e9988
Chris Olave,35,35.8,,24,NO,WR,14,,83a1c1dd-93ee-4997-ae2b-139466d923ed
DeVonta Smith,36,28.2,,61,PHI,WR,15,,41e96471-3191-4cbd-966d-e240e1b3deeb
A.J. Brown,37,27.6,,32,PHI,WR,16,,d7fc5a7b-bbb5-4b53-a9d4-58780f9d3ba1
Bucky Irving,38,43.3,,87,TB,RB,19,,9853a3b5-067e-4aee-9388-4e21fa09d7d9
Ladd McConkey,39,41.8,,76,LAC,WR,17,,56790984-c8f7-499a-a5cd-74c77b38028c
Garrett Wilson,40,37,,102,NYJ,WR,18,,473889a2-a6c7-4912-9c96-1665a08877e1
Jaylen Waddle,41,48.8,,57,DEN,WR,19,,fdd6ca8b-286d-4eb3-86e0-d2f970f6fa9c
Zay Flowers,42,39.5,,33,BAL,WR,20,,e75fdadf-f9d2-44d5-8f0b-2308f7b00ab0
Jameson Williams,43,46.8,,31,DET,WR,21,,3e1631ff-095d-431f-9df2-e30c87ace2b0
Cam Skattebo,44,54.1,,64,NYG,RB,20,,081d65a4-1d29-40ff-9ca1-dabad6887ff2
TreVeyon Henderson,45,47.8,,22,NE,RB,21,,54ddd66e-ce84-4ff8-979d-6cc9e1ff78ff
D'Andre Swift,46,58.2,,18,CHI,RB,22,,dc3bcebb-9e77-437c-9f51-57548947a981
Lamar Jackson,47,52.4,,114,BAL,QB,2,,9dd90ca5-f85f-4823-863c-f5fc1719835c
Colston Loveland,48,46.2,,59,CHI,TE,3,,4cf7c6ab-95f6-4e5f-adaa-ec47c1198dd1
D.J. Moore,49,50.1,,69,BUF,WR,22,,00d5b7d1-4bbd-4b38-8f4b-b40348f13e55
Emeka Egbuka,50,39.3,,52,TB,WR,23,,35636630-0a9c-41d1-a63e-14c33291ebf7
Mike Evans,51,45.2,,161,SF,WR,24,,fed6c701-5437-4965-b008-d65eb8280fea
Davante Adams,52,52.2,,27,LAR,WR,25,,61dc9c11-cbf2-4508-bc17-54da23abfb8d
Jadarian Price,53,68.8,,,SEA,RB,23,,c7bcbb9b-7598-4810-982a-bfd189daf987
Terry McLaurin,54,50.1,,138,WAS,WR,26,,c06c8642-d1d0-4df1-8254-ee4e0ea70c5f
Quinshon Judkins,55,54.2,,54,CLE,RB,24,,719db736-34b5-4990-ae8a-86d851f9eb37
David Montgomery,56,50.8,,74,HOU,RB,25,,4b14baf1-115c-4fde-b12b-fa3ec53ab612
Bhayshul Tuten,57,55.9,,174,JAX,RB,26,,6e351f30-740b-4649-b1c3-28b52f7ee0a4
Carnell Tate,58,59.3,,,TEN,WR,27,,89d88336-52d9-468c-bbe3-c1167c2e7819
Luther Burden,59,41.9,,121,CHI,WR,28,,667ca3ed-1519-414d-83e0-30bf2dc21162
Christian Watson,60,58.1,,75,GB,WR,29,,42a418b0-461c-4841-9c74-8f4a3547239c
Chuba Hubbard,61,71,,97,CAR,RB,27,,942801d0-c4ad-4d2b-b971-34cc675ed8f8
Jaylen Warren,62,81.6,,39,PIT,RB,28,,41bac526-b103-4a40-9142-dcef21e5da72
Tyler Warren,63,69,,101,IND,TE,4,,7c4c6c1d-bce9-45e7-9578-1eb5b4ace271
Joe Burrow,64,63.2,,169,CIN,QB,3,,f5231907-10c2-4638-83c2-43ec8f3394c3
Jayden Daniels,65,63.3,,283,WAS,QB,4,,986f5827-6ed9-4992-9c64-df54cc33c2b2
Rome Odunze,66,56,,70,CHI,WR,30,,e91cddd5-487d-4d8b-8131-c85691917e82
Alec Pierce,67,67.7,,47,IND,WR,31,,4aed4cc8-9362-4dd7-a829-1b2d891c445a
Rhamondre Stevenson,68,76.8,,28,NE,RB,29,,017da9b8-968f-4baa-858f-d8bbf32373ee
RJ Harvey,69,73.4,,34,DEN,RB,30,,8abc1bed-0838-40ba-8959-45444bf778a5
Caleb Williams,70,69.9,,84,CHI,QB,5,,8b23a214-cb44-4db0-a1f2-10a1d6c9e8bf
Drake Maye,71,70.6,,78,NE,QB,6,,e1bb7729-b87e-4abc-9743-f469d20839bd
Justin Herbert,72,86.4,,91,LAC,QB,7,,be421b67-977b-4ab9-a9c8-282f1548706d
Brian Thomas,73,62.7,,144,JAX,WR,32,,ac9035c0-d09b-4223-8db3-76c7994fd11a
Jordan Addison,74,82.7,,127,MIN,WR,33,,cf099f63-ced6-4321-9a10-2b3ef7692315
Jordyn Tyson,75,66.3,,,NO,WR,34,,7d59fc1e-990c-4002-994f-3c5e32b058ca
Marvin Harrison,76,65.7,,106,ARI,WR,35,,d407419c-8b2a-4590-b343-2f813554d6e0
Michael Wilson,77,82.1,,36,ARI,WR,36,,9e061e7d-b8a9-4457-903c-59e107eaea12
Jaxson Dart,78,87.1,,105,NYG,QB,8,,9b619115-cbc1-481f-869a-afb01b859710
Jalen Hurts,79,68.1,,99,PHI,QB,9,,96b8e2a1-4f67-4f4f-807f-861566d4461c
Harold Fannin,80,85,,96,CLE,TE,5,,77e88416-ec46-49cf-9997-ee83acddb499
Sam LaPorta,81,104.2,,124,DET,TE,6,,01220bfd-6610-4092-8c91-df5780313d9d
Tony Pollard,82,93,,62,TEN,RB,31,,b63d54a7-769e-4dd3-8ba8-bc1e865afc2f
Makai Lemon,83,73.2,,,PHI,WR,37,,11818a85-2fd9-4efd-aba2-bb18fc46a486
DK Metcalf,84,77.4,,67,PIT,WR,38,,e46168ce-4da2-4a27-8ccd-8a986b4f5e3a
Courtland Sutton,85,78.8,,40,DEN,WR,39,,c8b20835-6103-48bb-bf86-dfbb883649d5
Chris Godwin,86,92.7,,162,TB,WR,40,,877b2b95-1014-448a-9255-a4ec6dad9330
Bo Nix,87,96.9,,85,DEN,QB,14,,897642f1-74d8-4cf7-8a33-7fbcbd48d248
Brock Purdy,88,97.9,,108,SF,QB,10,,a732f00b-cb01-4c0d-8b64-6d8b605bf45f
Kyler Murray,89,105.9,,,MIN,QB,11,,2c318b1c-13a5-4722-a649-8d9c35a8f50e
Rico Dowdle,90,90.1,,25,PIT,RB,32,,8b881421-a482-4cae-83bd-a19a96ec5eda
Kyle Monangai,91,84.3,,94,CHI,RB,33,,a7519d55-5b58-4b16-a1ca-dce4c21ab284
Blake Corum,92,99,,98,LAR,RB,34,,fbe947d5-246f-4e65-9c82-fe7480240b81
Trevor Lawrence,93,84.3,,65,JAX,QB,12,,2b64247d-26af-48b7-bcb9-20ae6c38caee
Dak Prescott,94,79.3,,79,DAL,QB,13,,9b7b55a2-3b03-4e52-8928-eb34d7c82baa
Parker Washington,95,72.2,,41,JAX,WR,41,,13a35139-f4c3-4f11-a2ee-13e427f57852
Jayden Reed,96,96.3,,222,GB,WR,42,,ef35a5ca-57be-43d7-a55b-d4d568091425
Xavier Worthy,97,113.3,,221,KC,WR,43,,609c7ac6-7a6a-49e2-bc37-6ad755dc8513
Matthew Golden,98,113,,191,GB,WR,44,,3eabec6e-44d1-4e00-b975-7981b019494e
Josh Downs,99,113.4,,172,IND,WR,45,,e97d1607-52ac-43a6-80f0-a630cab1e74b
Tucker Kraft,100,86.5,,89,GB,TE,7,,de7ad4ba-381a-4899-b682-01c237566a46
Kyle Pitts,101,99.6,,55,ATL,TE,8,,11fab77a-8096-44ac-a426-6b8c9fddc723
Patrick Mahomes,102,92.8,,60,KC,QB,15,,8a17ba41-08bf-455e-852c-e5f9776021af
Matthew Stafford,103,103,,43,LAR,QB,16,,be568056-c66d-40fb-8c19-3185c357ced5
Jared Goff,104,103.6,,111,DET,QB,17,,1a21a150-0d38-4c37-a228-a81f61b16211
Jordan Love,105,107.2,,110,GB,QB,18,,1440721b-3ca6-406c-b87a-88e4ad494da5
Malik Willis,106,126,,208,MIA,QB,19,,d2297be4-c288-4bc4-aad9-fd8e02646776
Jordan Mason,107,119.9,,116,MIN,RB,35,,b079ce97-bdb3-4e94-b739-e7ba71472c39
Rachaad White,108,125.3,,130,WAS,RB,36,,b1f2f8ae-4b05-4a35-b9fb-6f5a6853e2eb
Jacory Croskey-Merritt,109,110,,66,WAS,RB,37,,d18a8c9c-dc6a-4ed2-af27-a631c40f0cb2
Chris Rodriguez,110,123.5,,189,JAX,RB,38,,a0dcb808-0e55-4c54-b3cb-7e7cf245840b
Ricky Pearsall,111,94,,152,SF,WR,46,,4d1e8598-7702-473b-aa6d-d9700db305ce
Jakobi Meyers,112,90,,120,JAX,WR,47,,0ceab1e0-16a3-42ce-9607-b5bdaf4697b2
Michael Pittman Jr.,113,105.2,,51,PIT,WR,48,,9ecd93f6-17dd-447b-96b7-8d54ca4ca886
Quentin Johnston,114,109.2,,56,LAC,WR,49,,dd7ba07b-e45a-4e8a-af56-8123a2ec1e8e
Romeo Doubs,115,99.5,,72,NE,WR,50,,28528dbe-2b54-4e90-8daf-b40ff16f4fcb
Jalen Coker,116,124.4,,109,CAR,WR,51,,03132f54-3982-4620-8495-c8fb6ec423f8
J.K. Dobbins,117,96.4,,107,DEN,RB,39,,f2a26eb3-26f1-4b6a-ae58-42c5ea9341e8
Aaron Jones,118,129.2,,132,MIN,RB,40,,eb7d78fd-a58f-49f4-a5c6-6e75cf6903c0
Kenneth Gainwell,119,115.8,,26,TB,RB,41,,d83ad27b-1a9b-49ac-984e-49453f424c9f
Jonathon Brooks,120,140.6,,,CAR,RB,42,,b44b6d29-a02e-48ae-9b60-1f2202464ba9
Wan'Dale Robinson,121,108.7,,48,TEN,WR,52,,48fe455e-166b-42f0-8c77-9b6a9d03d251
KC Concepcion,122,109.8,,,CLE,WR,53,,0b41b52c-c6f3-43bd-a655-35023705d92e
Jake Ferguson,123,126.9,,90,DAL,TE,9,,9077a1e5-ae83-43f2-ad88-8e44df2d6f4d
Travis Kelce,124,129,,86,KC,TE,10,,e2ea9022-a228-40b1-b668-5ac1fbe7e174
Dalton Kincaid,125,135,,88,BUF,TE,11,,58a9eb5e-0e5a-43e0-8a84-f29aaab96c0e
George Kittle,126,118.8,,58,SF,TE,12,,dd0faf01-71b1-4348-8299-d0de3d50c0da
Jayden Higgins,127,124.2,,137,HOU,WR,54,,c000c35b-ea8d-43de-9952-9814ce4eb887
Khalil Shakir,128,127.6,,93,BUF,WR,55,,a84c94e2-eaef-4db4-b83d-08c6c6156581
Baker Mayfield,129,112.9,,181,TB,QB,20,,2a053c32-61bf-40b3-95b7-3ab291a52d72
Bryce Young,130,149.8,,158,CAR,QB,21,,84d2c2de-8b5a-41cd-a571-aa7aafcfbc06
Tyler Shough,131,116.5,,250,NO,QB,22,,a8f22078-bf09-44cc-882f-b151b0f5d18d
