Aug 12,index,PPR,STD,ADP,Std auction,ppr auction,aav,,STD,PPR
Ja'Marr Chase,1,1,1,1.600862799,57,57,58.73192771,,1,1
Bijan Robinson,2,2,2,3.226475543,56,56,55.74578313,,2,2
Justin Jefferson,3,3,3,4.699678644,55,55,54.06927711,,3,3
Saquon Barkley,4,4,4,3.556345435,55,55,56.69819277,,4,4
Jahmyr Gibbs,5,5,5,5.421916234,54,54,54.02891566,,5,5
CeeDee Lamb,6,6,6,7.024189779,53,53,51.18012048,,6,6
Christian McCaffrey,7,7,7,8.370621403,53,53,49.38433735,,7,7
Puka Nacua,8,8,8,10.06788392,52,52,47.1186747,,8,8
Malik Nabers,9,9,9,11.84929693,51,51,46.67590361,,9,9
Amon-Ra St. Brown,10,10,10,10.48685364,50,50,47.62168675,,10,10
Ashton Jeanty,11,11,12,13.67987107,46,48,44.2313253,,12,11
Nico Collins,12,13,13,16.06566429,45,45,40.93554217,,13,13
De'Von Achane,13,12,18,14.44629467,37,46,41.91325301,,18,12
Derrick Henry,14,19,11,15.44164305,48,36,39.07349398,,11,19
Brian Thomas Jr.,15,14,14,19.00281427,43,43,38.52168675,,14,14
A.J. Brown,16,15,15,18.87290628,42,42,37.55662651,,15,15
Jonathan Taylor,17,17,17,19.6801153,38,38,35.73975904,,17,17
Drake London,18,16,16,22.49975655,40,40,35.22650602,,16,16
Josh Jacobs,19,18,19,20.51056599,36,37,34.60120482,,19,18
Brock Bowers,20,20,20,20.77315,35,35,33.33614458,,20,20
Trey McBride,21,21,21,26.19186273,34,34,29.32349398,,21,21
Bucky Irving,22,22,23,25.17006193,32,33,30.85060241,,23,22
Tee Higgins,23,24,24,28.50128059,32,32,26.9873494,,24,24
Josh Allen,24,28,28,20.9028204,29,29,30.24366707,,28,28
Tyreek Hill,25,25,26,30.20277153,30,31,27.53674699,,26,25
Lamar Jackson,26,29,29,21.90071606,28,28,29.79372738,,30,30
Ladd McConkey,27,26,27,33.42968712,30,30,25.94638554,,27,26
Kyren Williams,28,32,22,28.45107166,33,25,29.28674699,,22,36
Davante Adams,29,27,25,35.87501948,31,30,24.55120482,,25,27
Jayden Daniels,30,30,30,27.87035305,27,27,25.60193004,,32,32
Chase Brown,31,23,32,33.42414475,25,32,25.68795181,,36,23
Jalen Hurts,32,31,31,29.55217933,26,26,24.18636912,,34,34
James Cook,33,33,33,35.60690045,24,24,21.87108434,,37,37
Jaxon Smith-Njigba,34,34,36,38.78994264,22,23,20.13192771,,40,38
Joe Burrow,35,39,39,33.69184081,21,21,20.49276236,,43,43
Terry McLaurin,36,35,34,47.5798438,23,22,17.49096386,,38,39
George Kittle,37,40,40,35.87319596,20,20,18.68614458,,45,45
Kenneth Walker III,38,37,38,43.22134149,21,22,19.28313253,,42,41
Omarion Hampton,39,38,37,47.79232844,22,21,19.06746988,,41,42
Mike Evans,40,45,35,46.87298419,22,17,15.8746988,,39,50
Garrett Wilson,41,36,48,44.47796788,14,22,18.09457831,,53,40
Alvin Kamara,42,41,43,44.00006817,18,19,17.58072289,,48,46
Chuba Hubbard,43,42,41,50.74318073,19,19,16.26084337,,46,47
James Conner,44,43,42,55.62315947,19,18,14.88975904,,47,48
DK Metcalf,45,47,46,48.90747612,15,15,13.43493976,,51,52
Breece Hall,46,44,45,54.20660441,17,17,15.14879518,,50,49
Marvin Harrison Jr.,47,46,47,50.43380205,15,15,14.51746988,,52,51
Xavier Worthy,48,50,50,57.74208061,13,13,10.69457831,,55,55
Ja'Corey Brooks,49,0,0,169.945019,0,0,0.004216867,,0,0
Joe Mixon,50,51,44,66.65200074,17,12,10.3373494,,49,56
DJ Moore,51,48,53,62.49494586,11,14,10.57048193,,58,53
Zay Flowers,52,53,49,63.87255818,13,11,9.13373494,,54,58
D'Andre Swift,53,52,52,66.70107119,11,11,9.153614458,,57,57
Sam LaPorta,54,61,61,48.11884428,8,8,9.508433735,,67,67
Rashee Rice,55,49,54,69.19115972,10,13,9.522891566,,59,54
Patrick Mahomes,56,62,62,50.98598081,8,8,10.31121834,,68,68
Courtland Sutton,57,54,55,70.10722876,10,10,8.696385542,,60,59
Calvin Ridley,58,55,51,75.07681596,12,10,7.410240964,,56,60
DeVonta Smith,59,56,58,71.77404371,9,10,7.877710843,,63,61
Baker Mayfield,60,63,63,60.26693685,8,8,7.993365501,,70,70
Jaylen Waddle,61,57,57,81.33732922,10,10,6.593975904,,62,62
Jameson Williams,62,59,56,80.49573956,10,9,6.730722892,,61,64
George Pickens,63,60,60,78.14966404,9,9,6.928313253,,66,66
