Pos,PPR,Rank,Player,Team,ESPN Value,Adjusted Value,PriceRank
WR,1,1,Ja'Marr Chase,CIN,$57,$57,1
RB,2,5,Bijan Robinson,ATL,$56,$54,2
WR,3,7,Justin Jefferson,MIN,$55,$53,4
RB,4,3,Saquon Barkley,PHI,$55,$55,3
RB,5,4,Jahmyr Gibbs,DET,$54,$55,5
WR,6,2,CeeDee Lamb,DAL,$53,$56,6
RB,7,6,Christian McCaffrey,SF,$53,$53,7
WR,8,10,Puka Nacua,LA,$52,$50,8
WR,9,12,Malik Nabers,NYG,$51,$46,9
WR,10,9,Amon-Ra St. Brown,DET,$50,$51,10
RB,11,14,Ashton Jeanty,LV,$48,$43,11
RB,12,20,De'Von Achane,MIA,$46,$35,12
WR,13,8,Nico Collins,HOU,$45,$52,13
WR,14,11,Brian Thomas,JAX,$43,$48,14
WR,15,15,A.J. Brown,PHI,$42,$42,15
WR,16,13,Drake London,ATL,$40,$45,16
RB,17,19,Jonathan Taylor,IND,$38,$36,17
RB,18,18,Josh Jacobs,GB,$37,$37,18
RB,19,16,Derrick Henry,BAL,$36,$40,19
TE,20,22,Brock Bowers,LV,$35,$33,20
TE,21,21,Trey McBride,ARI,$34,$34,21
RB,22,24,Bucky Irving,TB,$33,$32,22
RB,23,25,Chase Brown,CIN,$32,$31,24
WR,24,17,Tee Higgins,CIN,$32,$38,23
WR,25,28,Tyreek Hill,MIA,$31,$29,25
WR,26,23,Ladd McConkey,LAC,$30,$32,26
WR,27,35,Davante Adams,LA,$30,$22,27
QB,28,27,Josh Allen,BUF,$29,$30,28
QB,29,26,Lamar Jackson,BAL,$28,$30,29
QB,30,30,Jayden Daniels,WAS,$27,$27,30
QB,31,33,Jalen Hurts,PHI,$26,$24,31
RB,32,42,Kyren Williams,LA,$25,$19,32
RB,33,32,James Cook,BUF,$24,$25,33
WR,34,37,Jaxon Smith-Njigba,SEA,$23,$22,34
WR,35,47,Terry McLaurin,WAS,$22,$15,37
WR,36,36,Garrett Wilson,NYJ,$22,$22,35
RB,37,29,Omarion Hampton,LAC,$22,$28,36
RB,38,40,Kenneth Walker,SEA,$21,$20,38
QB,39,59,Joe Burrow,CIN,$21,$9,39
TE,40,31,George Kittle,SF,$20,$26,40
RB,41,41,Alvin Kamara,NO,$19,$19,41
RB,42,43,Chuba Hubbard,CAR,$19,$18,42
RB,43,44,James Conner,ARI,$18,$17,43
RB,44,60,TreVeyon Henderson,NE,$17,$8,44
WR,45,34,Mike Evans,TB,$17,$23,45
WR,46,46,Marvin Harrison,ARI,$15,$15,47
WR,47,39,Xavier Worthy,KC,$15,$21,46
WR,48,55,DK Metcalf,PIT,$14,$10,48
WR,50,58,Rashee Rice,KC,$13,$9,49
RB,51,53,Breece Hall,NYJ,$12,$10,50
RB,52,77,D'Andre Swift,CHI,$11,$4,52
WR,53,56,Zay Flowers,BAL,$11,$10,51
WR,54,52,Courtland Sutton,DEN,$10,$11,53
WR,55,48,Calvin Ridley,TEN,$10,$14,55
WR,56,54,DeVonta Smith,PHI,$10,$10,54
WR,57,51,Jaylen Waddle,MIA,$10,$11,56
WR,58,70,Jerry Jeudy,CLE,$9,$6,58
WR,59,64,Jameson Williams,DET,$9,$7,59
WR,60,38,George Pickens,DAL,$9,$21,57
TE,61,79,Sam LaPorta,DET,$8,$4,62
QB,62,72,Patrick Mahomes,KC,$8,$6,60
QB,63,106,Baker Mayfield,TB,$8,$2,61
WR,64,65,Rome Odunze,CHI,$7,$7,63
WR,65,45,Tetairoa McMillan,CAR,$7,$17,65
WR,66,50,Travis Hunter,JAX,$7,$12,64
RB,67,74,David Montgomery,DET,$7,$5,66
RB,68,75,Aaron Jones,MIN,$6,$5,67
TE,69,89,T.J. Hockenson,MIN,$6,$3,70
RB,70,61,Tony Pollard,TEN,$6,$8,68
RB,71,76,RJ Harvey,DEN,$6,$5,69
RB,72,73,Isiah Pacheco,KC,$6,$5,72
WR,73,125,Chris Godwin,TB,$6,$1,71
WR,74,69,Jakobi Meyers,LV,$5,$6,75
WR,75,67,Chris Olave,NO,$5,$6,74
WR,76,57,Matthew Golden,GB,$5,$9,76
WR,77,93,Michael Pittman,IND,$5,$3,73
WR,78,98,Cooper Kupp,SEA,$4,$2,80
WR,79,71,Stefon Diggs,NE,$4,$6,84
RB,80,110,Tyrone Tracy,NYG,$4,$2,79
RB,81,109,Jaylen Warren,PIT,$4,$2,77
RB,82,84,Kaleb Johnson,PIT,$4,$4,81
TE,83,78,Travis Kelce,KC,$4,$4,85
TE,84,122,David Njoku,CLE,$4,$1,83
TE,85,88,Mark Andrews,BAL,$4,$3,82
TE,86,105,Evan Engram,DEN,$4,$2,78
QB,87,86,Bo Nix,DEN,$3,$3,90
QB,88,87,Kyler Murray,ARI,$3,$3,93
QB,89,85,Brock Purdy,SF,$3,$4,91
RB,90,117,Joe Mixon,HOU,$3,$2,88
RB,91,163,Quinshon Judkins,CLE,$3,$0,94
RB,92,99,J.K. Dobbins,DEN,$3,$2,89
RB,93,116,Rhamondre Stevenson,NE,$3,$2,87
