Player,Team,Position,Yahoo Rank,Adjusted Rank,Diff
Jahmyr Gibbs,DET,RB,1,1,
Bijan Robinson,ATL,RB,2,2,
Ja'Marr Chase,CIN,WR,3,3,
Puka Nacua,LAR,WR,4,4,
Christian McCaffrey,SF,RB,5,5,
Amon-Ra St. Brown,DET,WR,6,7,-1
Jaxon Smith-Njigba,SEA,WR,7,8,-1
Jonathan Taylor,IND,RB,8,6,2
CeeDee Lamb,DAL,WR,9,10,-1
James Cook III,BUF,RB,10,14,-4
Justin Jefferson,MIN,WR,11,13,-2
Saquon Barkley,PHI,RB,12,11,1
Ashton Jeanty,LV,RB,13,17,-4
Kenneth Walker III,KC,RB,14,9,5
Chase Brown,CIN,RB,15,15,
Omarion Hampton,LAC,RB,16,24,-8
Drake London,ATL,WR,17,19,-2
De'Von Achane,MIA,RB,18,12,6
Derrick Henry,BAL,RB,19,16,3
Nico Collins,HOU,WR,20,22,-2
Brock Bowers,LV,TE,21,18,3
George Pickens,DAL,WR,22,21,1
A.J. Brown,NE,WR,23,23,
DeVonta Smith,PHI,WR,24,28,-4
Trey McBride,ARI,TE,25,36,-11
Josh Allen,BUF,QB,26,27,-1
Jeremiyah Love,ARI,RB,27,25,2
Tee Higgins,CIN,WR,28,29,-1
Chris Olave,NO,WR,29,41,-12
Kyren Williams,LAR,RB,30,38,-8
Malik Nabers,NYG,WR,31,20,11
Zay Flowers,BAL,WR,32,30,2
Breece Hall,NYJ,RB,33,26,7
Rashee Rice,KC,WR,34,43,-9
Jaylen Waddle,DEN,WR,35,34,1
Josh Jacobs,GB,RB,36,33,3
Javonte Williams,DAL,RB,37,31,6
Emeka Egbuka,TB,WR,38,37,1
Colston Loveland,CHI,TE,39,35,4
Garrett Wilson,NYJ,WR,40,39,1
Tetairoa McMillan,CAR,WR,41,40,1
Ladd McConkey,LAC,WR,42,42,
Luther Burden III,CHI,WR,43,55,-12
Travis Etienne Jr.,NO,RB,44,32,12
Terry McLaurin,WSH,WR,45,56,-11
Cam Skattebo,NYG,RB,46,44,2
D'Andre Swift,CHI,RB,47,45,2
Lamar Jackson,BAL,QB,48,49,-1
